Q956	Peking
Q987	Neu-Delhi
Q61	Washington, D.C.
Q3630	Jakarta
Q1362	Islamabad
Q2844	Brasília
Q1354	Dhaka
Q649	Moskau
Q1489	Mexiko-Stadt
Q3624	Addis Abeba
Q1490	Tokio
Q85	Kairo
Q1461	Manila
Q3838	Kinshasa
Q1858	Hanoi
Q3616	Teheran
Q3640	Ankara
Q64	Berlin
Q90	Paris
Q84	London
Q1861	Bangkok
Q3926	Pretoria
Q5465	Kapstadt
Q37701	Bloemfontein
Q220	Rom
Q3866	Dodoma
Q37400	Naypyidaw
Q2841	Bogotá
Q8684	Seoul
Q2807	Madrid
Q3870	Nairobi
Q1486	Buenos Aires
Q3894	Kampala
Q3561	Algier
Q5838	Kabul
Q1899	Kiew
Q1963	Chartum
Q1530	Bagdad
Q270	Warschau
Q1930	Ottawa
Q3551	Rabat
Q3897	Luanda
Q269	Taschkent
Q1865	Kuala Lumpur
Q2868	Lima
Q3692	Riad
Q3761	Accra
Q3915	Antananarivo
Q1533	Caracas
Q3768	Yamoussoukro
Q3889	Maputo
Q3037	Kathmandu
Q3808	Yaoundé
Q2471	Sanaa
Q131694	Aden
Q3114	Canberra
Q18808	Pjöngjang
Q3766	Damaskus
Q1867	Taipeh
Q3777	Ouagadougou
Q3703	Bamako
Q3674	Niamey
Q35381	Colombo
Q41963	Sri Jayewardenepura Kotte
Q1520	Astana
Q3881	Lusaka
Q2887	Santiago de Chile
Q3659	N’Djamena
Q19660	Bukarest
Q3876	Lilongwe
Q1850	Phnom Penh
Q1555	Guatemala-Stadt
Q727	Amsterdam
Q2900	Quito
Q3718	Dakar
Q3921	Harare
Q3859	Kigali
Q3799	Porto-Novo
Q167551	Gitega
Q3733	Conakry
Q1947	Juba
Q1491	La Paz
Q2907	Sucre
Q239	Brüssel
Q3572	Tunis
Q2449	Mogadischu
Q1563	Havanna
Q34261	Port-au-Prince
Q1085	Prag
Q34820	Santo Domingo
Q1754	Stockholm
Q1524	Athen
Q3805	Amman
Q597	Lissabon
Q9248	Baku
Q1519	Abu Dhabi
Q1218	Jerusalem
Q1781	Budapest
Q9365	Duschanbe
Q70	Bern
Q2280	Minsk
Q1741	Wien
Q36526	Port Moresby
Q3238	Tegucigalpa
Q3792	Lomé
Q3780	Freetown
Q3579	Tripolis
Q9361	Bischkek
Q9326	Vientiane
Q2933	Asunción
Q3711	Belgrad
Q472	Sofia
Q3844	Brazzaville
Q23438	Aşgabat
Q3820	Beirut
Q3110	San Salvador
Q1748	Kopenhagen
Q334	Singapur
Q1757	Helsinki
Q585	Oslo
Q1780	Bratislava
Q23661	Wellington
Q3070	San José
Q158119	Ramallah
Q212938	Ostjerusalem
Q3748	Monrovia
Q3832	Bangui
Q1761	Dublin
Q3274	Managua
Q3826	Maskat
Q3688	Nouakchott
Q3306	Panama-Stadt
Q35178	Kuweit-Stadt
Q994	Tiflis
Q1435	Zagreb
Q11194	Sarajevo
Q3642	Asmara
Q1335	Montevideo
Q23430	Ulaanbaatar
Q1953	Jerewan
Q216	Vilnius
Q19689	Tirana
Q34692	Kingston
Q3726	Banjul
Q3861	Doha
Q3935	Windhoek
Q3919	Gaborone
Q21197	Chișinău / Kischinjow
Q437	Ljubljana
Q3825	Libreville
Q3909	Maseru
Q3739	Bissau
Q1140136	Ciudad de la Paz
Q1773	Riga
Q384	Skopje
Q25270	Pristina
Q3882	Manama
Q9310	Dili
Q1770	Tallinn
Q39178	Port of Spain
Q3856	Nikosia
Q3929	Port Louis
Q101418	Lobamba
Q3904	Mbabane
Q3604	Dschibuti
Q38807	Suva
Q3901	Moroni
Q10717	Georgetown
Q9270	Thimphu
Q1842	Luxemburg
Q23564	Podgorica
Q40921	Honiara
Q3001	Paramaribo
Q3751	Praia
Q23800	Valletta
Q9279	Bandar Seri Begawan
Q9347	Malé
Q3043	Belmopan
Q2467	Nassau
Q1764	Reykjavík
Q36168	Bridgetown
Q37806	Port Vila
Q3932	São Tomé
Q36260	Apia
Q41699	Castries
Q131233	South Tarawa
Q3940	Victoria
Q41547	St. George’s
Q41474	Kingstown
Q38834	Nukuʻalofa
Q1863	Andorra la Vella
Q42751	Palikir
Q36281	Roseau
Q12919	Majuro
Q41295	Basseterre
Q235	Monaco
Q1844	Vaduz
Q1848	San Marino
Q515229	Ngerulmud
Q31026	Yaren
Q34126	Funafuti
Q237	Vatikanstadt
