Q956	Beijing
Q987	New Delhi
Q61	Washington, D.C.
Q3630	Jakarta
Q1362	Islamabad
Q2844	Brasília
Q3787	Abuja
Q1354	Dhaka
Q649	Moscow
Q1489	Mexico City
Q3624	Addis Ababa
Q1490	Tokyo
Q85	Cairo
Q1461	Manila
Q3838	Kinshasa
Q1858	Hanoi
Q3616	Tehran
Q3640	Ankara
Q64	Berlin
Q90	Paris
Q84	London
Q1861	Bangkok
Q3926	Pretoria
Q5465	Cape Town
Q37701	Bloemfontein
Q220	Rome
Q3866	Dodoma
Q37400	Naypyidaw
Q2841	Bogotá
Q8684	Seoul
Q2807	Madrid
Q3870	Nairobi
Q1486	Buenos Aires
Q3894	Kampala
Q3561	Algiers
Q5838	Kabul
Q1899	Kyiv
Q1963	Khartoum
Q1530	Baghdad
Q270	Warsaw
Q1930	Ottawa
Q3551	Rabat
Q3897	Luanda
Q269	Tashkent
Q1865	Kuala Lumpur
Q2868	Lima
Q3692	Riyadh
Q3761	Accra
Q3915	Antananarivo
Q1533	Caracas
Q3768	Yamoussoukro
Q3889	Maputo
Q3037	Kathmandu
Q3808	Yaoundé
Q2471	Sanaa
Q131694	Aden
Q3114	Canberra
Q18808	Pyongyang
Q3766	Damascus
Q1867	Taipei
Q3777	Ouagadougou
Q3703	Bamako
Q3674	Niamey
Q35381	Colombo
Q41963	Sri Jayawardenepura Kotte
Q1520	Astana
Q3881	Lusaka
Q2887	Santiago
Q3659	N'Djamena
Q19660	Bucharest
Q3876	Lilongwe
Q1850	Phnom Penh
Q1555	Guatemala City
Q727	Amsterdam
Q2900	Quito
Q3718	Dakar
Q3921	Harare
Q3859	Kigali
Q3799	Porto-Novo
Q167551	Gitega
Q3733	Conakry
Q1947	Juba
Q1491	La Paz
Q2907	Sucre
Q239	Brussels
Q3572	Tunis
Q2449	Mogadishu
Q1563	Havana
Q34261	Port-au-Prince
Q1085	Prague
Q34820	Santo Domingo
Q1754	Stockholm
Q1524	Athens
Q3805	Amman
Q597	Lisbon
Q9248	Baku
Q1519	Abu Dhabi
Q1218	Jerusalem
Q1781	Budapest
Q9365	Dushanbe
Q70	Bern
Q2280	Minsk
Q1741	Vienna
Q36526	Port Moresby
Q3238	Tegucigalpa
Q3792	Lomé
Q3780	Freetown
Q3579	Tripoli
Q9361	Bishkek
Q9326	Vientiane
Q2933	Asunción
Q3711	Belgrade
Q472	Sofia
Q3844	Brazzaville
Q23438	Ashgabat
Q3820	Beirut
Q3110	San Salvador
Q1748	Copenhagen
Q334	Singapore
Q1757	Helsinki
Q585	Oslo
Q1780	Bratislava
Q23661	Wellington
Q3070	San José
Q158119	Ramallah
Q212938	East Jerusalem
Q3748	Monrovia
Q3832	Bangui
Q1761	Dublin
Q3274	Managua
Q3826	Muscat
Q3688	Nouakchott
Q3306	Panama City
Q35178	Kuwait City
Q994	Tbilisi
Q1435	Zagreb
Q11194	Sarajevo
Q3642	Asmara
Q1335	Montevideo
Q23430	Ulaanbaatar
Q1953	Yerevan
Q216	Vilnius
Q19689	Tirana
Q34692	Kingston
Q3726	Banjul
Q3861	Doha
Q3935	Windhoek
Q3919	Gaborone
Q21197	Chișinău
Q437	Ljubljana
Q3825	Libreville
Q3909	Maseru
Q3739	Bissau
Q1140136	Ciudad de la Paz
Q1773	Riga
Q384	Skopje
Q25270	Pristina
Q3882	Manama
Q9310	Dili
Q1770	Tallinn
Q39178	Port of Spain
Q3856	Nicosia
Q3929	Port Louis
Q101418	Lobamba
Q3904	Mbabane
Q3604	Djibouti
Q38807	Suva
Q3901	Moroni
Q10717	Georgetown
Q9270	Thimphu
Q1842	Luxembourg
Q23564	Podgorica
Q40921	Honiara
Q3001	Paramaribo
Q3751	Praia
Q23800	Valletta
Q9279	Bandar Seri Begawan
Q9347	Malé
Q3043	Belmopan
Q2467	Nassau
Q1764	Reykjavík
Q36168	Bridgetown
Q37806	Port Vila
Q3932	São Tomé
Q36260	Apia
Q41699	Castries
Q131233	South Tarawa
Q3940	Victoria
Q41547	St. George's
Q41474	Kingstown
Q38834	Nukuʻalofa
Q1863	Andorra la Vella
Q42751	Palikir
Q36281	Roseau
Q12919	Majuro
Q41295	Basseterre
Q235	Monaco
Q1844	Vaduz
Q1848	San Marino
Q515229	Ngerulmud
Q31026	Yaren District
Q34126	Funafuti
Q237	Vatican City
