Q956	Pékin
Q987	New Delhi
Q61	Washington
Q3630	Jakarta
Q1362	Islamabad
Q2844	Brasilia
Q3787	Abuja
Q1354	Dacca
Q649	Moscou
Q1489	Mexico
Q3624	Addis-Abeba
Q1490	Tokyo
Q85	Le Caire
Q1461	Manille
Q3838	Kinshasa
Q1858	Hanoï
Q3616	Téhéran
Q3640	Ankara
Q64	Berlin
Q90	Paris
Q84	Londres
Q1861	Bangkok
Q3926	Pretoria
Q5465	Le Cap
Q37701	Bloemfontein
Q220	Rome
Q3866	Dodoma
Q37400	Naypyidaw
Q2841	Bogota
Q8684	Séoul
Q2807	Madrid
Q3870	Nairobi
Q1486	Buenos Aires
Q3894	Kampala
Q3561	Alger
Q5838	Kaboul
Q1899	Kiev
Q1963	Khartoum
Q1530	Bagdad
Q270	Varsovie
Q1930	Ottawa
Q3551	Rabat
Q3897	Luanda
Q269	Tachkent
Q1865	Kuala Lumpur
Q2868	Lima
Q3692	Riyad
Q3761	Accra
Q3915	Antananarivo
Q1533	Caracas
Q3768	Yamoussoukro
Q3889	Maputo
Q3037	Katmandou
Q3808	Yaoundé
Q2471	Sanaa
Q131694	Aden
Q3114	Canberra
Q18808	Pyongyang
Q3766	Damas
Q1867	Taipei
Q3777	Ouagadougou
Q3703	Bamako
Q3674	Niamey
Q35381	Colombo
Q41963	Sri Jayawardenapura
Q1520	Astana
Q3881	Lusaka
Q2887	Santiago
Q3659	N'Djaména
Q19660	Bucarest
Q3876	Lilongwe
Q1850	Phnom Penh
Q1555	Guatemala
Q727	Amsterdam
Q2900	Quito
Q3718	Dakar
Q3921	Harare
Q3859	Kigali
Q3799	Porto-Novo
Q167551	Gitega
Q3733	Conakry
Q1947	Djouba
Q1491	La Paz
Q2907	Sucre
Q239	Bruxelles
Q3572	Tunis
Q2449	Mogadiscio
Q1563	La Havane
Q34261	Port-au-Prince
Q1085	Prague
Q34820	Saint-Domingue
Q1754	Stockholm
Q1524	Athènes
Q3805	Amman
Q597	Lisbonne
Q9248	Bakou
Q1519	Abou Dabi
Q1218	Jérusalem
Q1781	Budapest
Q9365	Douchanbé
Q70	Berne
Q2280	Minsk
Q1741	Vienne
Q36526	Port Moresby
Q3238	Tegucigalpa
Q3792	Lomé
Q3780	Freetown
Q3579	Tripoli
Q9361	Bichkek
Q9326	Vientiane
Q2933	Asuncion
Q3711	Belgrade
Q472	Sofia
Q3844	Brazzaville
Q23438	Achgabat
Q3820	Beyrouth
Q3110	San Salvador
Q1748	Copenhague
Q334	Singapour
Q1757	Helsinki
Q585	Oslo
Q1780	Bratislava
Q23661	Wellington
Q3070	San José
Q158119	Ramallah
Q212938	Jérusalem-Est
Q3748	Monrovia
Q3832	Bangui
Q1761	Dublin
Q3274	Managua
Q3826	Mascate
Q3688	Nouakchott
Q3306	Panama
Q35178	Koweït
Q994	Tbilissi
Q1435	Zagreb
Q11194	Sarajevo
Q3642	Asmara
Q1335	Montevideo
Q23430	Oulan-Bator
Q1953	Erevan
Q216	Vilnius
Q19689	Tirana
Q34692	Kingston
Q3726	Banjul
Q3861	Doha
Q3935	Windhoek
Q3919	Gaborone
Q21197	Chișinău
Q437	Ljubljana
Q3825	Libreville
Q3909	Maseru
Q3739	Bissau
Q1140136	Ciudad de la Paz
Q1773	Riga
Q384	Skopje
Q25270	Pristina
Q3882	Manama
Q9310	Dili
Q1770	Tallinn
Q39178	Port-d'Espagne
Q3856	Nicosie
Q3929	Port-Louis
Q101418	Lobamba
Q3904	Mbabane
Q3604	Djibouti
Q38807	Suva
Q3901	Moroni
Q10717	Georgetown
Q9270	Thimphou
Q1842	Luxembourg
Q23564	Podgorica
Q40921	Honiara
Q3001	Paramaribo
Q3751	Praia
Q23800	La Valette
Q9279	Bandar Seri Begawan
Q9347	Malé
Q3043	Belmopan
Q2467	Nassau
Q1764	Reykjavik
Q36168	Bridgetown
Q37806	Port-Vila
Q3932	São Tomé
Q36260	Apia
Q41699	Castries
Q131233	Tarawa-Sud
Q3940	Victoria
Q41547	Saint-Georges
Q41474	Kingstown
Q38834	Nukuʻalofa
Q36262	Saint John's
Q1863	Andorre-la-Vieille
Q42751	Palikir
Q36281	Roseau
Q12919	Majuro
Q41295	Basseterre
Q235	Monaco
Q1844	Vaduz
Q1848	Saint-Marin
Q515229	Ngerulmud
Q31026	Yaren
Q34126	Funafuti
Q237	Vatican
