Q956	Pechino
Q987	Nuova Delhi
Q61	Washington
Q3630	Giacarta
Q1362	Islamabad
Q2844	Brasilia
Q1354	Dacca
Q649	Mosca
Q1489	Città del Messico
Q3624	Addis Abeba
Q1490	Tokyo
Q85	Il Cairo
Q1461	Manila
Q3838	Kinshasa
Q1858	Hanoi
Q3616	Teheran
Q3640	Ankara
Q64	Berlino
Q90	Parigi
Q84	Londra
Q1861	Bangkok
Q3926	Pretoria
Q5465	Città del Capo
Q37701	Bloemfontein
Q220	Roma
Q3866	Dodoma
Q37400	Naypyidaw
Q2841	Bogotà
Q8684	Seul
Q2807	Madrid
Q3870	Nairobi
Q1486	Buenos Aires
Q3894	Kampala
Q3561	Algeri
Q5838	Kabul
Q1899	Kiev
Q1963	Khartum
Q1530	Baghdad
Q270	Varsavia
Q1930	Ottawa
Q3551	Rabat
Q3897	Luanda
Q269	Tashkent
Q1865	Kuala Lumpur
Q2868	Lima
Q3692	Riad
Q3761	Accra
Q3915	Antananarivo
Q1533	Caracas
Q3768	Yamoussoukro
Q3889	Maputo
Q3037	Katmandu
Q3808	Yaoundé
Q2471	Sana'a
Q131694	Aden
Q3114	Canberra
Q18808	Pyongyang
Q3766	Damasco
Q1867	Taipei
Q3777	Ouagadougou
Q3703	Bamako
Q3674	Niamey
Q35381	Colombo
Q41963	Sri Jayawardenapura Kotte
Q1520	Astana
Q3881	Lusaka
Q2887	Santiago del Cile
Q3659	N’Djamena
Q19660	Bucarest
Q3876	Lilongwe
Q1850	Phnom Penh
Q1555	Città del Guatemala
Q727	Amsterdam
Q2900	Quito
Q3718	Dakar
Q3921	Harare
Q3859	Kigali
Q3799	Porto-Novo
Q167551	Gitega
Q3733	Conakry
Q1947	Giuba
Q1491	La Paz
Q2907	Sucre
Q239	Bruxelles
Q3572	Tunisi
Q2449	Mogadiscio
Q1563	L'Avana
Q34261	Port-au-Prince
Q1085	Praga
Q34820	Santo Domingo
Q1754	Stoccolma
Q1524	Atene
Q3805	Amman
Q597	Lisbona
Q9248	Baku
Q1519	Abu Dhabi
Q1218	Gerusalemme
Q1781	Budapest
Q9365	Dušanbe
Q70	Berna
Q2280	Minsk
Q1741	Vienna
Q36526	Port Moresby
Q3238	Tegucigalpa
Q3792	Lomé
Q3780	Freetown
Q3579	Tripoli
Q9361	Biškek
Q9326	Vientiane
Q2933	Asunción
Q3711	Belgrado
Q472	Sofia
Q3844	Brazzaville
Q23438	Aşgabat
Q3820	Beirut
Q3110	San Salvador
Q1748	Copenaghen
Q334	Singapore
Q1757	Helsinki
Q585	Oslo
Q1780	Bratislava
Q23661	Wellington
Q3070	San José
Q158119	Ramallah
Q212938	Gerusalemme Est
Q3748	Monrovia
Q3832	Bangui
Q1761	Dublino
Q3274	Managua
Q3826	Mascate
Q3688	Nouakchott
Q3306	Panama
Q35178	Al Kuwait
Q994	Tbilisi
Q1435	Zagabria
Q11194	Sarajevo
Q3642	Asmara
Q1335	Montevideo
Q23430	Ulan Bator
Q1953	Erevan
Q216	Vilnius
Q19689	Tirana
Q34692	Kingston
Q3726	Banjul
Q3861	Doha
Q3935	Windhoek
Q3919	Gaborone
Q21197	Chișinău
Q437	Lubiana
Q3825	Libreville
Q3909	Maseru
Q3739	Bissau
Q1140136	Ciudad de la Paz
Q1773	Riga
Q384	Skopje
Q25270	Priština
Q3882	Manama
Q9310	Dili
Q1770	Tallinn
Q39178	Port of Spain
Q3856	Nicosia
Q3929	Port Louis
Q101418	Lobamba
Q3904	Mbabane
Q3604	Gibuti
Q38807	Suva
Q3901	Moroni
Q10717	Georgetown
Q9270	Thimphu
Q1842	Lussemburgo
Q23564	Podgorica
Q40921	Honiara
Q3001	Paramaribo
Q3751	Praia
Q23800	La Valletta
Q9279	Bandar Seri Begawan
Q9347	Male
Q3043	Belmopan
Q2467	Nassau
Q1764	Reykjavík
Q36168	Bridgetown
Q37806	Port Vila
Q3932	São Tomé
Q36260	Apia
Q41699	Castries
Q131233	Tarawa Sud
Q3940	Victoria
Q41547	Saint George's
Q41474	Kingstown
Q38834	Nukuʻalofa
Q36262	Saint John's
Q1863	Andorra la Vella
Q42751	Palikir
Q36281	Roseau
Q12919	Majuro
Q41295	Basseterre
Q235	Principato di Monaco
Q1844	Vaduz
Q1848	Città di San Marino
Q515229	Ngerulmud
Q31026	Yaren
Q34126	Funafuti
Q237	Città del Vaticano
