Q956	北京市
Q987	ニューデリー
Q61	ワシントンD.C.
Q3630	ジャカルタ
Q1362	イスラマバード
Q2844	ブラジリア
Q3787	アブジャ
Q1354	ダッカ
Q649	モスクワ
Q1489	メキシコシティ
Q3624	アディスアベバ
Q1490	東京都
Q85	カイロ
Q1461	マニラ
Q3838	キンシャサ
Q1858	ハノイ
Q3616	テヘラン
Q3640	アンカラ
Q64	ベルリン
Q90	パリ
Q84	ロンドン
Q1861	バンコク
Q3926	プレトリア
Q5465	ケープタウン
Q37701	ブルームフォンテーン
Q220	ローマ
Q3866	ドドマ
Q37400	ネピドー
Q2841	ボゴタ
Q8684	ソウル特別市
Q2807	マドリード
Q3870	ナイロビ
Q1486	ブエノスアイレス
Q3894	カンパラ
Q3561	アルジェ
Q5838	カーブル
Q1899	キーウ
Q1963	ハルツーム
Q1530	バグダード
Q270	ワルシャワ
Q1930	オタワ
Q3551	ラバト
Q3897	ルアンダ
Q269	タシュケント
Q1865	クアラルンプール
Q2868	リマ
Q3692	リヤド
Q3761	アクラ
Q3915	アンタナナリボ
Q1533	カラカス
Q3768	ヤムスクロ
Q3889	マプト
Q3037	カトマンズ
Q3808	ヤウンデ
Q2471	サヌア
Q131694	アデン
Q3114	キャンベラ
Q18808	平壌市
Q3766	ダマスカス
Q1867	台北市
Q3777	ワガドゥグー
Q3703	バマコ
Q3674	ニアメ
Q35381	コロンボ
Q41963	スリジャヤワルダナプラコッテ
Q1520	アスタナ
Q3881	ルサカ
Q2887	サンティアゴ
Q3659	ンジャメナ
Q19660	ブカレスト
Q3876	リロングウェ
Q1850	プノンペン
Q1555	グアテマラシティ
Q727	アムステルダム
Q2900	キト
Q3718	ダカール
Q3921	ハラレ
Q3859	キガリ
Q3799	ポルトノボ
Q167551	ギテガ
Q3733	コナクリ
Q1947	ジュバ
Q1491	ラパス
Q2907	スクレ
Q239	ブリュッセル市
Q3572	チュニス
Q2449	モガディシュ
Q1563	ハバナ
Q34261	ポルトープランス
Q1085	プラハ
Q34820	サント・ドミンゴ
Q1754	ストックホルム
Q1524	アテネ
Q3805	アンマン
Q597	リスボン
Q9248	バクー
Q1519	アブダビ
Q1218	エルサレム
Q1781	ブダペスト
Q9365	ドゥシャンベ
Q70	ベルン
Q2280	ミンスク
Q1741	ウィーン
Q36526	ポートモレスビー
Q3238	テグシガルパ
Q3792	ロメ
Q3780	フリータウン
Q3579	トリポリ
Q9361	ビシュケク
Q9326	ヴィエンチャン
Q2933	アスンシオン
Q3711	ベオグラード
Q472	ソフィア
Q3844	ブラザヴィル
Q23438	アシガバート
Q3820	ベイルート
Q3110	サンサルバドル
Q1748	コペンハーゲン
Q334	シンガポール
Q1757	ヘルシンキ
Q585	オスロ
Q1780	ブラチスラヴァ
Q23661	ウェリントン
Q3070	サンホセ
Q158119	ラマッラー
Q212938	エルサレム
Q3748	モンロビア
Q3832	バンギ
Q1761	ダブリン
Q3274	マナグア
Q3826	マスカット
Q3688	ヌアクショット
Q3306	パナマ市
Q35178	クウェート市
Q994	トビリシ
Q1435	ザグレブ
Q11194	サラエヴォ
Q3642	アスマラ
Q1335	モンテビデオ
Q23430	ウランバートル
Q1953	イェレヴァン
Q216	ヴィルニュス
Q19689	ティラナ
Q34692	キングストン
Q3726	バンジュール
Q3861	ドーハ
Q3935	ウィントフック
Q3919	ハボローネ
Q21197	キシナウ
Q437	リュブリャナ
Q3825	リーブルヴィル
Q3909	マセル
Q3739	ビサウ
Q1140136	ラパス
Q1773	リガ
Q384	スコピエ
Q25270	プリシュティナ
Q3882	マナーマ
Q9310	ディリ
Q1770	タリン
Q39178	ポートオブスペイン
Q3856	ニコシア
Q3929	ポートルイス
Q101418	ロバンバ
Q3904	ムババーネ
Q3604	ジブチ市
Q38807	スバ
Q3901	モロニ
Q10717	ジョージタウン
Q9270	ティンプー
Q1842	ルクセンブルク市
Q23564	ポドゴリツァ
Q40921	ホニアラ
Q3001	パラマリボ
Q3751	プライア
Q23800	バレッタ
Q9279	バンダルスリブガワン
Q9347	マレ
Q3043	ベルモパン
Q2467	ナッソー
Q1764	レイキャヴィーク
Q36168	ブリッジタウン
Q37806	ポートビラ
Q3932	サントメ
Q36260	アピア
Q41699	カストリーズ
Q131233	サウス・タラワ
Q3940	ヴィクトリア
Q41547	セントジョージズ
Q41474	キングスタウン
Q38834	ヌクアロファ
Q36262	セイント・ジョンズ
Q1863	アンドラ・ラ・ベリャ
Q42751	パリキール
Q36281	ロゾー
Q12919	マジュロ
Q41295	バセテール
Q235	モナコ
Q1844	ファドゥーツ
Q1848	サンマリノ市
Q515229	ンゲルルムッド
Q31026	ヤレン地区
Q34126	フナフティ島
Q237	バチカン
