Q956	베이징시
Q987	뉴델리
Q61	워싱턴 D.C.
Q3630	자카르타
Q1362	이슬라마바드
Q2844	브라질리아
Q3787	아부자
Q1354	다카
Q649	모스크바
Q1489	멕시코시티
Q3624	아디스아바바
Q1490	도쿄도
Q85	카이로
Q1461	마닐라
Q3838	킨샤사
Q1858	하노이
Q3616	테헤란
Q3640	앙카라
Q64	베를린
Q90	파리
Q84	런던
Q1861	방콕
Q3926	프리토리아
Q5465	케이프타운
Q37701	블룸폰테인
Q220	로마
Q3866	도도마
Q37400	네피도
Q2841	보고타
Q8684	서울특별시
Q2807	마드리드
Q3870	나이로비
Q1486	부에노스아이레스
Q3894	캄팔라
Q3561	알제
Q5838	카불
Q1899	키이우
Q1963	하르툼
Q1530	바그다드
Q270	바르샤바
Q1930	오타와
Q3551	라바트
Q3897	루안다
Q269	타슈켄트
Q1865	쿠알라룸푸르
Q2868	리마
Q3692	리야드
Q3761	아크라
Q3915	안타나나리보
Q1533	카라카스
Q3768	야무수크로
Q3889	마푸투
Q3037	카트만두
Q3808	야운데
Q2471	사나
Q131694	아덴
Q3114	캔버라
Q18808	평양시
Q3766	다마스쿠스
Q1867	타이베이시
Q3777	와가두구
Q3703	바마코
Q3674	니아메
Q35381	콜롬보
Q41963	스리자야와르데네푸라코테
Q1520	아스타나
Q3881	루사카
Q2887	산티아고
Q3659	은자메나
Q19660	부쿠레슈티
Q3876	릴롱궤
Q1850	프놈펜
Q1555	과테말라시티
Q727	암스테르담
Q2900	키토
Q3718	다카르
Q3921	하라레
Q3859	키갈리
Q3799	포르토노보
Q167551	기테가
Q3733	코나크리
Q1947	주바
Q1491	라파스
Q2907	수크레
Q239	브뤼셀
Q3572	튀니스
Q2449	모가디슈
Q1563	아바나
Q34261	포르토프랭스
Q1085	프라하
Q34820	산토도밍고
Q1754	스톡홀름
Q1524	아테네
Q3805	암만
Q597	리스본
Q9248	바쿠
Q1519	아부다비
Q1218	예루살렘
Q1781	부다페스트
Q9365	두샨베
Q70	베른
Q2280	민스크
Q1741	빈
Q36526	포트모르즈비
Q3238	테구시갈파
Q3792	로메
Q3780	프리타운
Q3579	트리폴리
Q9361	비슈케크
Q9326	비엔티안
Q2933	아순시온
Q3711	베오그라드
Q472	소피아
Q3844	브라자빌
Q23438	아시가바트
Q3820	베이루트
Q3110	산살바도르
Q1748	코펜하겐
Q334	싱가포르
Q1757	헬싱키
Q585	오슬로
Q1780	브라티슬라바
Q23661	웰링턴
Q3070	산호세
Q158119	라말라
Q212938	동예루살렘
Q3748	몬로비아
Q3832	방기
Q1761	더블린
Q3274	마나과
Q3826	무스카트
Q3688	누악쇼트
Q3306	파나마시티
Q35178	쿠웨이트 시
Q994	트빌리시
Q1435	자그레브
Q11194	사라예보
Q3642	아스마라
Q1335	몬테비데오
Q23430	울란바타르
Q1953	예레반
Q216	빌뉴스
Q19689	티라나
Q34692	킹스턴
Q3726	반줄
Q3861	도하
Q3935	빈트후크
Q3919	가보로네
Q21197	키시너우
Q437	류블랴나
Q3825	리브르빌
Q3909	마세루
Q3739	비사우
Q1140136	오얄라
Q1773	리가
Q384	스코페
Q25270	프리슈티나
Q3882	마나마
Q9310	딜리
Q1770	탈린
Q39178	포트오브스페인
Q3856	니코시아
Q3929	포트루이스
Q101418	로밤바
Q3904	음바바네
Q3604	지부티
Q38807	수바
Q3901	모로니
Q10717	조지타운
Q9270	팀부
Q1842	룩셈부르크
Q23564	포드고리차
Q40921	호니아라
Q3001	파라마리보
Q3751	프라이아
Q23800	발레타
Q9279	반다르스리브가완
Q9347	말레
Q3043	벨모판
Q2467	나소
Q1764	레이캬비크
Q36168	브리지타운
Q37806	포트빌라
Q3932	상투메
Q36260	아피아
Q41699	캐스트리스
Q131233	사우스타라와
Q3940	빅토리아
Q41547	세인트조지스
Q41474	킹스타운
Q38834	누쿠알로파
Q36262	세인트존스
Q1863	안도라라벨랴
Q42751	팔리키르
Q36281	로조
Q12919	마주로
Q41295	바스테르
Q235	모나코
Q1844	파두츠
Q1848	산마리노
Q515229	응게룰무드
Q31026	야렌구
Q34126	푸나푸티
Q237	바티칸 시국
