Q956	北京市
Q987	新德里
Q61	华盛顿哥伦比亚特区
Q3630	雅加达
Q1362	伊斯兰堡
Q2844	巴西利亚
Q3787	阿布贾
Q1354	达卡市
Q649	莫斯科
Q1489	墨西哥城
Q3624	亚的斯亚贝巴
Q1490	东京都
Q85	开罗
Q1461	马尼拉
Q3838	金沙萨
Q1858	河内
Q3616	德黑兰
Q3640	安卡拉
Q64	柏林
Q90	巴黎
Q84	伦敦
Q1861	曼谷
Q3926	比勒陀利亚
Q5465	开普敦
Q37701	布隆方丹
Q220	罗马
Q37400	奈比多
Q2841	波哥大
Q8684	首尔
Q2807	马德里
Q3870	内罗毕
Q1486	布宜诺斯艾利斯
Q3894	坎帕拉
Q3561	阿尔及尔
Q5838	喀布尔
Q1899	基辅
Q1963	喀土穆
Q1530	巴格达
Q270	华沙
Q1930	渥太华
Q3897	罗安达
Q269	塔什干
Q1865	吉隆坡
Q2868	利马
Q3692	利雅得
Q3761	阿克拉
Q3915	塔那那利佛
Q1533	加拉加斯
Q3889	马普托
Q3037	加德满都
Q3808	雅温得
Q131694	亚丁
Q3114	堪培拉
Q18808	平壤
Q3766	大马士革
Q1867	台北市
Q3703	巴马科
Q3674	尼亚美
Q35381	科伦坡
Q41963	斯里贾亚瓦德纳普拉科特
Q1520	阿斯塔纳
Q3881	卢萨卡
Q2887	圣地亚哥
Q3659	恩贾梅纳
Q19660	布加勒斯特
Q1850	金边
Q1555	危地马拉城
Q727	阿姆斯特丹
Q3718	达喀尔
Q3921	哈拉雷
Q3859	基加利
Q3799	波多诺伏
Q167551	基特加
Q3733	科纳克里
Q1947	朱巴
Q1491	拉巴斯
Q239	布鲁塞尔
Q3572	突尼斯市
Q1563	哈瓦那
Q1085	布拉格
Q34820	圣多明哥
Q1754	斯德哥尔摩
Q1524	雅典
Q3805	安曼
Q597	里斯本
Q9248	巴库
Q1519	阿布扎比
Q1218	耶路撒冷
Q1781	布达佩斯
Q9365	杜尚别
Q70	伯尔尼
Q2280	明斯克
Q1741	维也纳
Q36526	莫尔兹比港
Q3238	特古西加尔巴
Q3780	弗里敦
Q3579	的黎波里
Q9361	比什凯克
Q9326	万象
Q2933	亚松森
Q3711	贝尔格莱德
Q472	索非亚
Q3844	布拉柴维尔
Q23438	阿什哈巴德
Q3820	贝鲁特
Q3110	圣萨尔瓦多
Q1748	哥本哈根
Q334	新加坡
Q1757	赫尔辛基
Q585	奥斯陆
Q1780	布拉迪斯拉发
Q23661	惠灵顿
Q3070	圣何塞
Q158119	拉姆安拉
Q212938	东耶路撒冷
Q3748	蒙罗维亚
Q3832	班吉
Q3306	巴拿马城
Q35178	科威特城
Q994	第比利斯
Q1435	萨格勒布
Q11194	萨拉热窝
Q3642	阿斯马拉
Q1335	蒙得维的亚
Q23430	乌兰巴托
Q1953	埃里温
Q216	维尔纽斯
Q19689	地拉那
Q34692	金斯敦
Q3726	班珠尔
Q3935	温得和克
Q3919	哈博罗内
Q21197	基希讷乌
Q437	卢布尔雅那
Q3825	利伯维尔
Q3909	马塞卢
Q3739	比绍
Q1773	里加
Q384	斯科普里
Q25270	普里什蒂纳
Q3882	麦纳麦
Q9310	帝力
Q1770	塔林
Q3856	尼科西亚
Q101418	洛班巴
Q3904	姆巴巴内
Q38807	苏瓦
Q9270	廷布
Q1842	卢森堡市
Q23564	波德戈里察
Q40921	霍尼亚拉
Q3751	普拉亚
Q23800	瓦莱塔
Q9279	斯里巴加湾市
Q9347	马累
Q3043	贝尔墨邦
Q2467	拿骚
Q1764	雷克雅未克
Q37806	维拉港
Q36260	阿皮亚
Q41699	卡斯特里
Q131233	南塔拉瓦
Q38834	努库阿洛法
Q36262	圣约翰
Q1863	安道尔城
Q36281	罗索
Q12919	马朱罗
Q235	摩纳哥
Q1844	瓦杜兹
Q1848	圣马力诺
Q515229	恩吉鲁穆德
Q31026	亚伦区
Q237	梵蒂冈
