Q956	北京市
Q987	新德里
Q61	華盛頓哥倫比亞特區
Q3630	雅加達
Q1362	伊斯蘭瑪巴德
Q2844	巴西利亞
Q3787	阿布加
Q1354	達卡
Q649	莫斯科
Q1489	墨西哥城
Q3624	阿迪斯阿貝巴
Q1490	東京都
Q85	開羅
Q1461	馬尼拉
Q3838	金夏沙
Q1858	河內
Q3616	德黑蘭
Q3640	安卡拉
Q64	柏林
Q90	巴黎
Q84	倫敦
Q1861	曼谷
Q3926	普勒托利亞
Q5465	開普敦
Q37701	布隆方丹
Q220	羅馬
Q37400	奈比多
Q2841	波哥大
Q8684	首爾
Q2807	馬德里
Q3870	奈洛比
Q1486	布宜諾斯艾利斯
Q3894	康培拉
Q3561	阿爾及爾
Q5838	喀布爾
Q1899	基輔
Q1963	喀土穆
Q1530	巴格達
Q270	華沙
Q1930	渥太華
Q3551	拉巴特
Q3897	魯安達
Q269	塔什干
Q1865	吉隆坡
Q2868	利馬
Q3692	利雅德
Q3761	阿克拉
Q3915	安塔那那利佛
Q1533	卡拉卡斯
Q3889	馬普托
Q3037	加德滿都
Q3808	雅溫得
Q131694	亞丁
Q3114	坎培拉
Q18808	平壤
Q3766	大馬士革
Q1867	臺北市
Q3777	瓦加杜古
Q3703	巴馬科
Q3674	尼阿美
Q35381	可倫坡
Q1520	阿斯塔納
Q3881	路沙卡
Q2887	聖地牙哥
Q3659	恩賈梅納
Q19660	布加勒斯特
Q1850	金邊
Q1555	瓜地馬拉市
Q727	阿姆斯特丹
Q2900	基多
Q3718	達卡
Q3921	哈拉雷
Q167551	基特加
Q3733	柯那克里
Q1491	拉巴斯
Q2907	蘇克雷
Q239	布魯塞爾
Q3572	突尼斯市
Q2449	摩加迪休
Q1563	哈瓦那
Q34261	太子港
Q1085	布拉格
Q34820	聖多明哥
Q1754	斯德哥爾摩
Q1524	雅典
Q3805	安曼
Q597	里斯本
Q9248	巴庫
Q1519	阿布達比
Q1218	耶路撒冷
Q1781	布達佩斯
Q9365	杜尚貝
Q70	伯恩
Q2280	明斯克
Q1741	維也納
Q36526	莫士比港
Q3238	德古西加巴
Q3792	洛美
Q3780	自由城
Q3579	的黎波里
Q9361	比什凱克
Q9326	永珍
Q2933	亞松森
Q3711	貝爾格勒
Q472	索菲亞
Q3844	布拉柴維爾
Q23438	阿什哈巴特
Q3820	貝魯特
Q3110	聖薩爾瓦多
Q1748	哥本哈根
Q334	新加坡
Q1757	赫爾辛基
Q585	奧斯陸
Q1780	布拉提斯拉瓦
Q23661	威靈頓
Q3070	聖荷西
Q158119	拉姆安拉
Q212938	東耶路撒冷
Q3832	班基
Q1761	都柏林
Q3274	馬納瓜
Q3826	馬斯喀特
Q3306	巴拿馬城
Q35178	科威特城
Q994	提比里斯
Q1435	札格雷布
Q11194	塞拉耶佛
Q3642	阿斯馬拉
Q1335	蒙特維多
Q23430	烏蘭巴托
Q1953	葉里溫
Q216	維爾紐斯
Q19689	地拉那
Q34692	京斯敦
Q3726	班珠爾
Q3861	杜哈
Q3935	溫得和克
Q3919	嘉柏隆里
Q21197	基希涅夫
Q437	盧比安納
Q3825	自由市
Q3909	馬塞盧
Q3739	比索
Q1773	里加
Q384	史高比耶
Q25270	普里斯提納
Q3882	麥納麦
Q9310	帝力
Q1770	塔林
Q39178	西班牙港
Q3856	尼古西亞
Q101418	洛班巴
Q3904	墨巴本
Q38807	蘇瓦
Q9270	辛布
Q1842	盧森堡市
Q23564	波德戈里察
Q40921	荷尼阿拉
Q3001	巴拉馬利波
Q3751	普拉亞
Q23800	瓦萊塔
Q9279	斯里巴加灣市
Q9347	馬累
Q2467	拿騷
Q1764	雷克雅未克
Q36168	橋鎮
Q37806	維拉港
Q36260	阿皮亞
Q41699	卡斯特里
Q131233	南塔拉瓦
Q38834	努库阿洛法
Q1863	老安道爾
Q36281	羅梭
Q12919	馬久羅
Q235	摩納哥
Q1844	華杜茲
Q1848	聖馬力諾
Q515229	恩吉魯穆德
Q237	梵蒂岡
