Q148	Cina
Q668	India
Q30	Stati Uniti
Q252	Indonesia
Q843	Pakistan
Q155	Brasile
Q1033	Nigeria
Q902	Bangladesh
Q159	Russia
Q96	Messico
Q115	Etiopia
Q17	Giappone
Q79	Egitto
Q928	Filippine
Q974	Repubblica Democratica del Congo
Q881	Vietnam
Q794	Iran
Q43	Turchia
Q183	Germania
Q142	Francia
Q145	Regno Unito
Q869	Tailandia
Q258	Sudafrica
Q38	Italia
Q924	Tanzania
Q836	Myanmar
Q739	Colombia
Q884	Corea del Sud
Q29	Spagna
Q114	Kenya
Q414	Argentina
Q1036	Uganda
Q262	Algeria
Q889	Afghanistan
Q212	Ucraina
Q1049	Sudan
Q796	Iraq
Q36	Polonia
Q16	Canada
Q1028	Marocco
Q916	Angola
Q265	Uzbekistan
Q833	Malaysia
Q419	Perù
Q851	Arabia Saudita
Q117	Ghana
Q1019	Madagascar
Q717	Venezuela
Q1008	Costa d'Avorio
Q1029	Mozambico
Q837	Nepal
Q1009	Camerun
Q805	Yemen
Q408	Australia
Q423	Corea del Nord
Q858	Siria
Q865	Taiwan
Q965	Burkina Faso
Q912	Mali
Q1032	Niger
Q854	Sri Lanka
Q232	Kazakistan
Q953	Zambia
Q298	Cile
Q657	Ciad
Q218	Romania
Q1020	Malawi
Q424	Cambogia
Q774	Guatemala
Q29999	Regno dei Paesi Bassi
Q736	Ecuador
Q1041	Senegal
Q954	Zimbabwe
Q1037	Ruanda
Q962	Benin
Q967	Burundi
Q1006	Guinea
Q958	Sudan del Sud
Q750	Bolivia
Q31	Belgio
Q948	Tunisia
Q1045	Somalia
Q241	Cuba
Q790	Haiti
Q213	Repubblica Ceca
Q786	Repubblica Dominicana
Q34	Svezia
Q41	Grecia
Q810	Giordania
Q45	Portogallo
Q227	Azerbaigian
Q878	Emirati Arabi Uniti
Q801	Israele
Q28	Ungheria
Q863	Tagikistan
Q39	Svizzera
Q184	Bielorussia
Q40	Austria
Q691	Papua Nuova Guinea
Q783	Honduras
Q945	Togo
Q1044	Sierra Leone
Q1016	Libia
Q813	Kirghizistan
Q819	Laos
Q733	Paraguay
Q403	Serbia
Q219	Bulgaria
Q971	Repubblica del Congo
Q874	Turkmenistan
Q822	Libano
Q792	El Salvador
Q756617	Regno di Danimarca
Q334	Singapore
Q33	Finlandia
Q20	Norvegia
Q214	Slovacchia
Q664	Nuova Zelanda
Q800	Costa Rica
Q219060	Stato di Palestina
Q1014	Liberia
Q929	Repubblica Centrafricana
Q27	Irlanda
Q811	Nicaragua
Q842	Oman
Q1025	Mauritania
Q804	Panama
Q817	Kuwait
Q230	Georgia
Q224	Croazia
Q225	Bosnia ed Erzegovina
Q986	Eritrea
Q77	Uruguay
Q711	Mongolia
Q399	Armenia
Q37	Lituania
Q222	Albania
Q766	Giamaica
Q1005	Gambia
Q846	Qatar
Q1030	Namibia
Q963	Botswana
Q217	Moldavia
Q215	Slovenia
Q1000	Gabon
Q1013	Lesotho
Q1007	Guinea-Bissau
Q983	Guinea Equatoriale
Q211	Lettonia
Q221	Macedonia del Nord
Q1246	Kosovo
Q398	Bahrein
Q574	Timor Est
Q191	Estonia
Q754	Trinidad e Tobago
Q229	Cipro
Q1027	Mauritius
Q1050	Eswatini
Q977	Gibuti
Q712	Figi
Q970	Comore
Q734	Guyana
Q917	Bhutan
Q32	Lussemburgo
Q236	Montenegro
Q685	Isole Salomone
Q730	Suriname
Q1011	Capo Verde
Q233	Malta
Q921	Brunei
Q826	Maldive
Q242	Belize
Q778	Bahamas
Q189	Islanda
Q244	Barbados
Q686	Vanuatu
Q1039	São Tomé e Príncipe
Q683	Samoa
Q760	Saint Lucia
Q710	Kiribati
Q1042	Seychelles
Q769	Grenada
Q757	Saint Vincent e Grenadine
Q678	Tonga
Q781	Antigua e Barbuda
Q228	Andorra
Q702	Stati Federati di Micronesia
Q784	Dominica
Q709	Isole Marshall
Q763	Saint Kitts e Nevis
Q235	Principato di Monaco
Q347	Liechtenstein
Q238	San Marino
Q695	Palau
Q697	Nauru
Q672	Tuvalu
Q237	Città del Vaticano
