Q148	中華人民共和国
Q668	インド
Q30	アメリカ合衆国
Q252	インドネシア
Q843	パキスタン
Q155	ブラジル
Q1033	ナイジェリア
Q902	バングラデシュ
Q159	ロシア
Q96	メキシコ
Q115	エチオピア
Q17	日本
Q79	エジプト
Q928	フィリピン
Q974	コンゴ民主共和国
Q881	ベトナム
Q794	イラン
Q43	トルコ
Q183	ドイツ
Q142	フランス
Q145	イギリス
Q869	タイ王国
Q258	南アフリカ共和国
Q38	イタリア
Q924	タンザニア
Q836	ミャンマー
Q739	コロンビア
Q884	大韓民国
Q29	スペイン王国
Q114	ケニア
Q414	アルゼンチン
Q1036	ウガンダ
Q262	アルジェリア
Q889	アフガニスタン
Q212	ウクライナ
Q1049	スーダン
Q796	イラク
Q36	ポーランド
Q16	カナダ
Q1028	モロッコ
Q916	アンゴラ
Q265	ウズベキスタン
Q833	マレーシア
Q419	ペルー
Q851	サウジアラビア
Q117	ガーナ
Q1019	マダガスカル
Q717	ベネズエラ
Q1008	コートジボワール
Q1029	モザンビーク
Q837	ネパール
Q1009	カメルーン
Q805	イエメン
Q408	オーストラリア
Q423	朝鮮民主主義人民共和国
Q858	シリア
Q865	中華民国
Q965	ブルキナファソ
Q912	マリ共和国
Q1032	ニジェール
Q854	スリランカ
Q232	カザフスタン
Q953	ザンビア
Q298	チリ
Q657	チャド
Q218	ルーマニア
Q1020	マラウイ
Q424	カンボジア
Q774	グアテマラ
Q29999	オランダ王国
Q736	エクアドル
Q1041	セネガル
Q954	ジンバブエ
Q1037	ルワンダ
Q962	ベナン
Q967	ブルンジ
Q1006	ギニア
Q958	南スーダン
Q750	ボリビア
Q31	ベルギー
Q948	チュニジア
Q1045	ソマリア
Q241	キューバ
Q790	ハイチ
Q213	チェコ共和国
Q786	ドミニカ共和国
Q34	スウェーデン
Q41	ギリシャ
Q810	ヨルダン
Q45	ポルトガル
Q227	アゼルバイジャン
Q878	アラブ首長国連邦
Q801	イスラエル
Q28	ハンガリー
Q863	タジキスタン
Q39	スイス
Q184	ベラルーシ
Q40	オーストリア
Q691	パプアニューギニア
Q783	ホンジュラス
Q945	トーゴ
Q1044	シエラレオネ
Q1016	リビア
Q813	キルギス
Q819	ラオス
Q733	パラグアイ
Q403	セルビア
Q219	ブルガリア
Q971	コンゴ共和国
Q874	トルクメニスタン
Q822	レバノン
Q792	エルサルバドル
Q756617	デンマーク王国
Q334	シンガポール
Q33	フィンランド
Q20	ノルウェー王国
Q214	スロバキア
Q664	ニュージーランド
Q800	コスタリカ
Q219060	パレスチナ国
Q1014	リベリア
Q929	中央アフリカ共和国
Q27	アイルランド
Q811	ニカラグア
Q842	オマーン
Q1025	モーリタニア
Q804	パナマ
Q817	クウェート
Q230	ジョージア
Q224	クロアチア
Q225	ボスニア・ヘルツェゴビナ
Q986	エリトリア
Q77	ウルグアイ
Q711	モンゴル国
Q399	アルメニア
Q37	リトアニア
Q222	アルバニア
Q766	ジャマイカ
Q1005	ガンビア
Q846	カタール
Q1030	ナミビア
Q963	ボツワナ
Q217	モルドバ
Q215	スロベニア
Q1000	ガボン
Q1013	レソト
Q1007	ギニアビサウ共和国
Q983	赤道ギニア
Q211	ラトビア
Q221	北マケドニア
Q1246	コソボ共和国
Q398	バーレーン
Q574	東ティモール
Q191	エストニア
Q754	トリニダード・トバゴ
Q229	キプロス
Q1027	モーリシャス
Q1050	エスワティニ
Q977	ジブチ
Q712	フィジー
Q970	コモロ
Q734	ガイアナ
Q917	ブータン
Q32	ルクセンブルク
Q236	モンテネグロ
Q685	ソロモン諸島
Q730	スリナム
Q1011	カーボベルデ
Q233	マルタ
Q921	ブルネイ
Q826	モルディブ
Q242	ベリーズ
Q778	バハマ
Q189	アイスランド
Q244	バルバドス
Q686	バヌアツ
Q1039	サントメ・プリンシペ
Q683	サモア
Q760	セントルシア
Q710	キリバス
Q1042	セーシェル
Q769	グレナダ
Q757	セントビンセント・グレナディーン
Q678	トンガ
Q781	アンティグア・バーブーダ
Q228	アンドラ
Q702	ミクロネシア連邦
Q784	ドミニカ国
Q709	マーシャル諸島
Q763	セントクリストファー・ネイビス
Q235	モナコ
Q347	リヒテンシュタイン
Q238	サンマリノ
Q695	パラオ
Q697	ナウル
Q672	ツバル
Q237	バチカン
