Q148	중화인민공화국
Q668	인도
Q30	미국
Q252	인도네시아
Q843	파키스탄
Q155	브라질
Q1033	나이지리아
Q902	방글라데시
Q159	러시아
Q96	멕시코
Q115	에티오피아
Q17	일본
Q79	이집트
Q928	필리핀
Q974	콩고 민주 공화국
Q881	베트남
Q794	이란
Q43	튀르키예
Q183	독일
Q142	프랑스
Q145	영국
Q869	태국
Q258	남아프리카 공화국
Q38	이탈리아
Q924	탄자니아
Q836	미얀마
Q739	콜롬비아
Q884	대한민국
Q29	스페인
Q114	케냐
Q414	아르헨티나
Q1036	우간다
Q262	알제리
Q889	아프가니스탄
Q212	우크라이나
Q1049	수단
Q796	이라크
Q36	폴란드
Q16	캐나다
Q1028	모로코
Q916	앙골라
Q265	우즈베키스탄
Q833	말레이시아
Q419	페루
Q851	사우디아라비아
Q117	가나
Q1019	마다가스카르
Q717	베네수엘라
Q1008	코트디부아르
Q1029	모잠비크
Q837	네팔
Q1009	카메룬
Q805	예멘
Q408	오스트레일리아
Q423	조선민주주의인민공화국
Q858	시리아
Q865	중화민국
Q965	부르키나파소
Q912	말리
Q1032	니제르
Q854	스리랑카
Q232	카자흐스탄
Q953	잠비아
Q298	칠레
Q657	차드
Q218	루마니아
Q1020	말라위
Q424	캄보디아
Q774	과테말라
Q29999	네덜란드 왕국
Q736	에콰도르
Q1041	세네갈
Q954	짐바브웨
Q1037	르완다
Q962	베냉
Q967	부룬디
Q1006	기니
Q958	남수단
Q750	볼리비아
Q31	벨기에
Q948	튀니지
Q1045	소말리아
Q241	쿠바
Q790	아이티
Q213	체코
Q786	도미니카 공화국
Q34	스웨덴
Q41	그리스
Q810	요르단
Q45	포르투갈
Q227	아제르바이잔
Q878	아랍에미리트
Q801	이스라엘
Q28	헝가리
Q863	타지키스탄
Q39	스위스
Q184	벨라루스
Q40	오스트리아
Q691	파푸아뉴기니
Q783	온두라스
Q945	토고
Q1044	시에라리온
Q1016	리비아
Q813	키르기스스탄
Q819	라오스
Q733	파라과이
Q403	세르비아
Q219	불가리아
Q971	콩고 공화국
Q874	투르크메니스탄
Q822	레바논
Q792	엘살바도르
Q756617	덴마크 왕국
Q334	싱가포르
Q33	핀란드
Q20	노르웨이
Q214	슬로바키아
Q664	뉴질랜드
Q800	코스타리카
Q219060	팔레스타인
Q1014	라이베리아
Q929	중앙아프리카 공화국
Q27	아일랜드
Q811	니카라과
Q842	오만
Q1025	모리타니
Q804	파나마
Q817	쿠웨이트
Q230	조지아
Q224	크로아티아
Q225	보스니아 헤르체고비나
Q986	에리트레아
Q77	우루과이
Q711	몽골
Q399	아르메니아
Q37	리투아니아
Q222	알바니아
Q766	자메이카
Q1005	감비아
Q846	카타르
Q1030	나미비아
Q963	보츠와나
Q217	몰도바
Q215	슬로베니아
Q1000	가봉
Q1013	레소토
Q1007	기니비사우
Q983	적도 기니
Q211	라트비아
Q221	북마케도니아
Q1246	코소보
Q398	바레인
Q574	동티모르
Q191	에스토니아
Q754	트리니다드 토바고
Q229	키프로스
Q1027	모리셔스
Q1050	에스와티니
Q977	지부티
Q712	피지
Q970	코모로
Q734	가이아나
Q917	부탄
Q32	룩셈부르크
Q236	몬테네그로
Q685	솔로몬 제도
Q730	수리남
Q1011	카보베르데
Q233	몰타
Q921	브루나이
Q826	몰디브
Q242	벨리즈
Q778	바하마
Q189	아이슬란드
Q244	바베이도스
Q686	바누아투
Q1039	상투메 프린시페
Q683	사모아
Q760	세인트루시아
Q710	키리바시
Q1042	세이셸
Q769	그레나다
Q757	세인트빈센트 그레나딘
Q678	통가
Q781	앤티가 바부다
Q228	안도라
Q702	미크로네시아 연방
Q784	도미니카 연방
Q709	마셜 제도
Q763	세인트키츠 네비스
Q235	모나코
Q347	리히텐슈타인
Q238	산마리노
Q695	팔라우
Q697	나우루
Q672	투발루
Q237	바티칸 시국
