# country	iso	population	continents (P30, raw)	capitals (P36)
Q148	CN	1404890000	Q48	Q956
Q668	IN	1326093247	Q48	Q987
Q30	US	340110988	Q49	Q61
Q252	ID	275439000	Q48	Q3630
Q843	PK	223773700	Q48	Q1362
Q155	BR	213421037	Q18	Q2844
Q1033	NG	211400708	Q15	Q3787
Q902	BD	171466990	Q48	Q1354
Q159	RU	146119928	Q46|Q48|Q5401	Q649
Q96	MX	132274416	Q49	Q1489
Q115	ET	128691692	Q15	Q3624
Q17	JP	123802000	Q48	Q1490
Q79	EG	114535772	Q15	Q85
Q928	PH	112729484	Q48	Q1461
Q974	CD	105789731	Q15	Q3838
Q881	VN	96208984	Q48	Q1858
Q794	IR	92417700	Q48	Q3616
Q43	TR	85372377	Q46|Q48	Q3640
Q183	DE	83577140	Q46	Q64
Q142	FR	68605616	Q46	Q90
Q145	GB	67326569	Q46	Q84
Q869	TH	66188503	Q48	Q1861
Q258	ZA	62027503	Q15	Q3926|Q5465|Q37701
Q38	IT	58850717	Q46	Q220
Q924	TZ	57310019	Q15	Q3866
Q836	MM	53370609	Q48	Q37400
Q739	CO	52321152	Q18	Q2841
Q884	KR	51466201	Q48	Q8684
Q29	ES	48592909	Q46	Q2807
Q114	KE	48468138	Q15	Q3870
Q414	AR	47327407	Q18	Q1486
Q1036	UG	47123531	Q15	Q3894
Q262	DZ	46164219	Q15	Q3561
Q889	AF	41454761	Q48	Q5838
Q212	UA	41167335	Q46	Q1899
Q1049	SD	40533330	Q15	Q1963
Q796	IQ	38274618	Q48	Q1530
Q36	PL	37563071	Q46	Q270
Q16	CA	36991981	Q49	Q1930
Q1028	MA	36828330	Q15	Q3551
Q916	AO	36749906	Q15	Q3897
Q265	UZ	34915100	Q48	Q269
Q833	MY	34231700	Q48	Q1865
Q419	PE	34157732	Q18	Q2868
Q851	SA	33000000	Q48	Q3692
Q117	GH	32833031	Q15	Q3761
Q1019	MG	31964956	Q15	Q3915
Q717	VE	31250306	Q18	Q1533
Q1008	CI	31165654	Q15	Q3768
Q1029	MZ	29668834	Q15	Q3889
