# qid	population (P1082)	capital (P36)
Q41470		
Q5689	30836	Q48329
Q21203	106739	Q131243
Q25279	152849	Q132679
Q26273	43847	Q30958
Q9676	84523	Q18569
Q785	103267	Q147738
Q25230	67787	Q174262
Q1246	1586659	Q25270
Q865	23262544	Q1867
Q219060	5227193	Q158119
Q26988	14222	Q170482
Q34020	1821	Q30966
Q23334	243564	Q40811
Q23427	56520	
Q23681	476214	Q2762100
Q6250	612000	
Q8646	7413070	
Q14773	682100	
Q1183	3285874	Q41211
Q33788	278500	Q9733
Q30971	278786	Q130800
Q16644	47329	Q49755159
Q34754	6500000	Q168652
Q648767		
Q223	56609	Q226
Q4628	54149	Q10704
Q16635	153836	Q30988
Q16641	49710	Q51678
Q11703	87146	Q51681
Q23635	65024	Q30985
Q5785	88833	Q172996
Q18221	44542	Q34205
Q25305	39369	Q179431
Q25228	19079	Q30994
Q13353	5440	Q30990
Q25362	10124	Q34112
Q126125	32358	Q200605
Q34617	5974	Q185678
Q1410	34003	Q1410
Q192184	5633	Q30970
Q9648	4550	Q12245
Q35672	50	Q48273
Q35555	11558	Q31002
Q31057	2188	Q30963
Q31063	1692	Q30980
Q36004	602	Q48675
Q36823	1499	
