Q148	中华人民共和国
Q668	印度
Q30	美国
Q252	印度尼西亚
Q843	巴基斯坦
Q155	巴西
Q1033	尼日利亚
Q902	孟加拉国
Q159	俄罗斯
Q96	墨西哥
Q115	埃塞俄比亚
Q17	日本
Q79	埃及
Q928	菲律宾
Q974	刚果民主共和国
Q881	越南
Q794	伊朗
Q43	土耳其
Q183	德国
Q142	法国
Q145	英国
Q869	泰国
Q258	南非
Q38	意大利
Q924	坦桑尼亚
Q836	缅甸
Q739	哥伦比亚
Q884	大韩民国
Q29	西班牙
Q114	肯尼亚
Q414	阿根廷
Q1036	乌干达
Q262	阿尔及利亚
Q889	阿富汗
Q212	乌克兰
Q1049	苏丹
Q796	伊拉克
Q36	波兰
Q16	加拿大
Q1028	摩洛哥
Q916	安哥拉
Q265	乌兹别克斯坦
Q833	马来西亚
Q419	秘鲁
Q851	沙特阿拉伯
Q117	加纳
Q1019	马达加斯加
Q717	委内瑞拉
Q1008	科特迪瓦
Q1029	莫桑比克
Q837	尼泊尔
Q1009	喀麦隆
Q805	也门
Q408	澳大利亚
Q423	朝鲜民主主义人民共和国
Q858	叙利亚
Q865	中华民国
Q965	布基纳法索
Q912	马里
Q1032	尼日尔
Q854	斯里兰卡
Q232	哈萨克斯坦
Q953	赞比亚
Q298	智利
Q657	乍得
Q218	罗马尼亚
Q1020	马拉维
Q424	柬埔寨
Q774	危地马拉
Q29999	荷兰王国
Q736	厄瓜多尔
Q1041	塞内加尔
Q954	津巴布韦
Q1037	卢旺达
Q962	贝宁
Q967	布隆迪
Q1006	几内亚
Q958	南苏丹
Q750	玻利维亚
Q31	比利时
Q948	突尼斯
Q1045	索马里
Q241	古巴
Q790	海地
Q213	捷克
Q786	多米尼加
Q34	瑞典
Q41	希腊
Q810	约旦
Q45	葡萄牙
Q227	阿塞拜疆
Q878	阿拉伯联合酋长国
Q801	以色列
Q28	匈牙利
Q863	塔吉克斯坦
Q39	瑞士
Q184	白俄罗斯
Q40	奥地利
Q691	巴布亚新几内亚
Q783	洪都拉斯
Q945	多哥
Q1044	塞拉利昂
Q1016	利比亚
Q813	吉尔吉斯斯坦
Q819	老挝
Q733	巴拉圭
Q403	塞尔维亚
Q219	保加利亚
Q971	刚果共和国
Q874	土库曼斯坦
Q822	黎巴嫩
Q792	萨尔瓦多
Q756617	丹麦王国
Q334	新加坡
Q33	芬兰
Q20	挪威
Q214	斯洛伐克
Q664	新西兰
Q800	哥斯达黎加
Q219060	巴勒斯坦
Q1014	利比里亚
Q929	中非共和国
Q27	爱尔兰
Q811	尼加拉瓜
Q842	阿曼
Q1025	毛里塔尼亚
Q804	巴拿马
Q817	科威特
Q230	格鲁吉亚
Q224	克罗地亚
Q225	波斯尼亚和黑塞哥维那
Q986	厄立特里亚
Q77	乌拉圭
Q711	蒙古国
Q399	亚美尼亚
Q37	立陶宛
Q222	阿尔巴尼亚
Q766	牙买加
Q1005	冈比亚
Q846	卡塔尔
Q1030	纳米比亚
Q963	博茨瓦纳
Q217	摩尔多瓦
Q215	斯洛文尼亚
Q1000	加蓬
Q1013	莱索托
Q1007	几内亚比绍
Q983	赤道几内亚
Q211	拉脱维亚
Q221	北马其顿
Q1246	科索沃
Q398	巴林
Q574	东帝汶
Q191	爱沙尼亚
Q754	特立尼达和多巴哥
Q229	塞浦路斯
Q1027	毛里求斯
Q1050	斯威士兰
Q977	吉布提
Q712	斐济
Q970	科摩罗
Q734	圭亚那
Q917	不丹
Q32	卢森堡
Q236	黑山
Q685	所罗门群岛
Q730	苏里南
Q1011	佛得角
Q233	马耳他
Q921	文莱
Q826	马尔代夫
Q242	伯利兹
Q778	巴哈马
Q189	冰岛
Q244	巴巴多斯
Q686	瓦努阿图
Q1039	圣多美和普林西比
Q683	萨摩亚
Q760	圣卢西亚
Q710	基里巴斯
Q1042	塞舌尔
Q769	格林纳达
Q757	圣文森特和格林纳丁斯
Q678	汤加
Q781	安提瓜和巴布达
Q228	安道尔
Q702	密克罗尼西亚联邦
Q784	多米尼克
Q709	马绍尔群岛
Q763	圣基茨和尼维斯
Q235	摩纳哥
Q347	列支敦士登
Q238	圣马力诺
Q695	帕劳
Q697	瑙鲁
Q672	图瓦卢
Q237	梵蒂冈
