Q148	中華人民共和國
Q668	印度
Q30	美國
Q252	印度尼西亞
Q843	巴基斯坦
Q155	巴西
Q1033	奈及利亞
Q902	孟加拉國
Q159	俄羅斯
Q96	墨西哥
Q115	衣索比亞
Q17	日本
Q79	埃及
Q928	菲律賓
Q974	剛果民主共和國
Q881	越南
Q794	伊朗
Q43	土耳其
Q183	德國
Q142	法國
Q145	英國
Q869	泰國
Q258	南非
Q38	義大利
Q924	坦尚尼亞
Q836	緬甸
Q739	哥倫比亞
Q884	大韓民國
Q29	西班牙
Q114	肯尼亞
Q414	阿根廷
Q1036	烏干達
Q262	阿爾及利亞
Q889	阿富汗
Q212	烏克蘭
Q1049	蘇丹
Q796	伊拉克
Q36	波蘭
Q16	加拿大
Q1028	摩洛哥
Q916	安哥拉
Q265	烏茲別克斯坦
Q833	馬來西亞
Q419	秘魯
Q851	沙烏地阿拉伯
Q117	迦納
Q1019	馬達加斯加
Q717	委內瑞拉
Q1008	象牙海岸
Q1029	莫三比克
Q837	尼泊爾
Q1009	喀麥隆
Q805	葉門
Q408	澳大利亞
Q423	朝鮮民主主義人民共和國
Q858	敘利亞
Q865	中華民國
Q965	布吉納法索
Q912	馬利
Q1032	尼日
Q854	斯里蘭卡
Q232	哈薩克
Q953	尚比亞
Q298	智利
Q657	查德
Q218	羅馬尼亞
Q1020	馬拉威
Q424	柬埔寨
Q774	瓜地馬拉
Q29999	荷蘭王國
Q736	厄瓜多爾
Q1041	塞內加爾
Q954	辛巴威
Q1037	盧旺達
Q962	貝南
Q967	蒲隆地
Q1006	幾內亞
Q958	南蘇丹
Q750	玻利維亞
Q31	比利時
Q948	突尼西亞
Q1045	索馬利亞
Q241	古巴
Q790	海地
Q213	捷克
Q786	多明尼加
Q34	瑞典
Q41	希臘
Q810	約旦
Q45	葡萄牙
Q227	亞塞拜然
Q878	阿拉伯聯合大公國
Q801	以色列
Q28	匈牙利
Q863	塔吉克斯坦
Q39	瑞士
Q184	白俄羅斯
Q40	奧地利
Q691	巴布亞紐幾內亞
Q783	宏都拉斯
Q945	多哥
Q1044	獅子山
Q1016	利比亞
Q813	吉爾吉斯
Q819	寮國
Q733	巴拉圭
Q403	塞爾維亞
Q219	保加利亞
Q971	剛果共和國
Q874	土庫曼
Q822	黎巴嫩
Q792	薩爾瓦多
Q756617	丹麥王國
Q334	新加坡
Q33	芬蘭
Q20	挪威
Q214	斯洛伐克
Q664	紐西蘭
Q800	哥斯大黎加
Q219060	巴勒斯坦
Q1014	賴比瑞亞
Q929	中非共和國
Q27	愛爾蘭
Q811	尼加拉瓜
Q842	阿曼
Q1025	茅利塔尼亞
Q804	巴拿馬
Q817	科威特
Q230	喬治亞
Q224	克羅地亞
Q225	波士尼亞與赫塞哥維納
Q986	厄利垂亞
Q77	烏拉圭
Q711	蒙古國
Q399	亞美尼亞
Q37	立陶宛
Q222	阿爾巴尼亞
Q766	牙買加
Q1005	甘比亞
Q846	卡達
Q1030	納米比亞
Q963	波札那
Q217	摩爾多瓦
Q215	斯洛維尼亞
Q1000	加彭
Q1013	賴索托
Q1007	幾內亞比索
Q983	赤道幾內亞
Q211	拉脫維亞
Q221	北馬其頓
Q1246	科索沃
Q398	巴林
Q574	東帝汶
Q191	愛沙尼亞
Q754	千里達及托巴哥
Q229	賽普勒斯
Q1027	模里西斯
Q1050	史瓦帝尼
Q977	吉布地
Q712	斐濟
Q970	葛摩
Q734	圭亞那
Q917	不丹
Q32	盧森堡
Q236	蒙特內哥羅
Q685	索羅門群島
Q730	蘇利南
Q1011	維德角
Q233	馬耳他
Q921	汶萊
Q826	馬爾地夫
Q242	貝里斯
Q778	巴哈馬
Q189	冰島
Q244	巴貝多
Q686	萬那杜
Q1039	聖多美普林西比
Q683	薩摩亞
Q760	聖露西亞
Q710	吉里巴斯
Q1042	塞席爾
Q769	格瑞那達
Q757	聖文森及格瑞那丁
Q678	東加
Q781	安地卡及巴布達
Q228	安道爾
Q702	密克羅尼西亞聯邦
Q784	多米尼克
Q709	馬紹爾群島
Q763	聖克里斯多福及尼維斯
Q235	摩納哥
Q347	列支敦斯登
Q238	聖馬利諾
Q695	帛琉
Q697	瑙魯
Q672	吐瓦魯
Q237	梵蒂岡
