aa	afari
ab	abhaasi
ace	atšehi
ach	akoli
ada	adangme
ady	adõgee
ae	avesta
aeb	Tunisian Arabic
af	afrikaani
afh	afrihili
agq	aghemi
ain	ainu
ak	akani
akk	akadi
akz	Alabama
ale	aleuudi
aln	Gheg Albanian
alt	altai
am	amhari
an	aragoni
ang	vanainglise
anp	angika
ar	araabia
ar_001	araabia (tänapäevane)
arc	aramea
arn	araukaani
aro	Araona
arp	arapaho
arq	Algerian Arabic
arw	aravaki
ary	Moroccan Arabic
arz	Egyptian Arabic
as	assami
asa	asa
ase	American Sign Language
ast	astuuria
av	avaari
avk	Kotava
awa	avadhi
ay	aimara
az	aserbaidžaani
azb	South Azerbaijani
ba	baškiiri
bal	belutši
ban	bali
bar	Bavarian
bas	basa
bax	bamuni
bbc	Batak Toba
bbj	ghomala
be	valgevene
bej	bedža
bem	bemba
bew	Betawi
bez	bena
bfd	bafuti
bfq	Badaga
bg	bulgaaria
bho	bhodžpuri
bi	bislama
bik	bikoli
bin	edo
bjn	Banjar
bkm	itaŋikomi
bla	siksika
bm	bambara
bn	bengali
bo	tiibeti
bpy	Bishnupriya
bqi	Bakhtiari
br	bretooni
bra	bradži
brh	Brahui
brx	bodo
bs	bosnia
bss	akoose
bua	burjaadi
bug	bugi
bum	bulu
byn	bilini
byv	medumba
ca	katalaani
cad	kado
car	kariibi
cay	cayuga
cch	atsami
ce	tšetšeeni
ceb	sebu
cgg	chiga
ch	tšamorro
chb	tšibtša
chg	tšagatai
chk	tšuugi
chm	mari
chn	tšinuki žargoon
cho	tšokto
chp	tšipevai
chr	tšerokii
chy	šaieeni
ckb	sorani kurdi
co	korsika
cop	kopti
cps	Capiznon
cr	krii
crh	krimmitatari
cs	tšehhi
csb	kašuubi
cu	kirikuslaavi
cv	tšuvaši
cy	kõmri
da	taani
dak	siuu
dar	dargi
dav	taita
de	saksa
de_AT	Austrian German
de_CH	saksa (kõrgsaksa)
del	delavari
den	sleivi
dgr	dogribi
din	dinka
dje	zarma
doi	dogri
dsb	alamsorbi
