# qid	code (P218/P219/P220)	speakers (P1098)	dead	extinct	historical	constructed	fictional	dialect	dialectGroup	standard	langGroup	langFamily
Q19860	ine	3390000000									1	1
Q45961	sit	1470000000									1	1
Q7850	zh	1299877520									1	
Q1860	en	1132366680								1		
Q727694	cmn	897071810								1		
Q11051		490100000										
Q1321	es	485000000										
Q13955	ar	422000000								1		
Q25268	afa	400000000									1	1
Q33253		380000000									1	1
Q122602987	arb	335000000								1		
Q23526	sla	315000000									1	1
Q34090		300000000									1	1
Q38638470		300000000									1	1
Q49228	map	300000000									1	1
Q7976		300000000						1				
Q9610	bn	300000000										
Q110620923		270200000								1		
Q5146	pt	254300000										
Q144713		240000000									1	1
Q150	fr	208157220										
Q750553		204000000						1				
Q33311	dra	200000000									1	1
Q9240	id	198996550								1		
Q7737	ru	171428900										
Q5287	ja	128000000										
Q58635	pa	125000000										
Q17993025		110000000						1		1		
Q188	de	105000000										
Q29919	arz	100542400						1				
Q56356571		96308080										
Q1617	ur	94022900								1		
Q33549	jv	84308740								1		
Q1571	mr	83100000										
Q3197533	swh	82300000						1		1		
Q256	tr	82231620										
Q8097	te	82000000										
Q34290	wuu	81400000										
Q9176	ko	77300000										
Q9237	ms	77000000								1		
Q9199	vi	76000000										
Q2355546		75000000									1	1
Q5885	ta	75000000										
Q1194795		73212000							1		1	1
Q7033959	yue	73100000						1				
Q9186		72893210										
Q9168	fa	70000000							1		1	1
Q652	it	64819790										
Q135305	bh	63000000									1	1
Q145852		60000000									1	1
Q5137	gu	56400000										
Q3513637	pes	52800000						1				
Q33268	bho	52200000										
Q36495	nan	50100000										
Q34064		50000000									1	1
Q58680	ps	50000000										
Q33375	hak	48200000						1				
Q33655	pcm	47500000										
Q12632162		47000000									1	1
Q56479	cjy	46900000										
Q13201	rom	46000000										
Q34057	tl	45000000										
Q56593	apc	44000000										
Q56475	ha	43900000										
Q33673	kn	43600000										
Q56499	arq	42252851						1				
Q809	pl	40200000										
Q34311	yo	40000000										
Q742782		40000000									1	1
Q9217	th	40000000								1		
Q13220	hsn	37300000										
Q36236	ml	37100000										
Q13196	raj	36000000										
Q33864	om	36000000										
Q9292	az	35000000										
Q8798	uk	34710100										
Q33810	or	34500000										
Q36109	mai	33900000										
Q9228	my	32900000										
Q34002	su	32400000										
Q56573	apd	31900000						1				
Q946077		29000000									1	1
Q56426	ary	27500000						1				
Q18546266	nqo	27000000										
Q33578	ig	27000000										
Q9264	uz	27000000										
Q1066766	uzn	26912410						1				
Q28244	am	25000000										
Q33997	sd	25000000										
Q22809485	apc	24600000										
Q7913	ro	24300000										
Q33823	ne	24131000										
Q33454	ff	24000000										
Q7411	nl	23100000										
Q56592	aec	22400000						1				
Q33475	gan	22100000										
Q29579	awa	22000000										
Q36368	ku	21000000										
Q12642194	pbu	20900000						1				
Q33728	mag	20700000										
Q33902	skr	20009000						1				
Q36217	ln	20000000										
Q6429269		20000000						1				
Q9301	sh	19000000								1		
Q7930	mg	18138380										
Q2334789		18000000									1	
Q36778		18000000						1				
Q25448	ber	17000000									1	1
Q49741	tzm	17000000						1				
Q9205	km	16600000										
Q33158	hne	16300000										
Q13275	so	16200000										
Q13216	za	16000000										
Q9267	tk	16000000										
Q33239	ceb	15900000										
Q10179	zu	15700000										
Q56232	acm	15700000						1				
Q7838	sw	15437390										
Q13267	si	15300000										
Q29401	as	15300000										
Q262828		15000000						1				
Q33417	tts	15000000										
Q3449805	azb	15000000						1				
Q36094	kr	15000000										
Q36213	mad	15000000										
Q36510	el	15000000										
Q36163	kmr	14600000										
Q36129	fuv	14500000										
Q56608	acw	14500000						1				
Q29540	bar	14100000						1				
Q3123021		14000000									1	1
Q33410	bgc	14000000										
Q56312	mwr	14000000										
Q9260	tg	14000000						1				
Q2044560	syl	13980000										
Q33219		13500000						1				
Q9252	kk	13161980										
Q9129		13156880									1	1
Q33173	ctg	13000000										
Q34327	ts	13000000										
Q669431		12800000							1			
Q9067	hu	12600000										
Q33573	rw	12100000										
Q15065		12030000						1				
Q33273	ny	12000000										
Q55633582	ajp	11600000						1				
Q56240	aeb	11600000						1				
Q56578	ayn	11400000						1				
Q13218	xh	11000000										
Q28026	ak	11000000										
Q36457	mnp	11000000										
Q8641	yi	11000000										
Q16112855	pbt	10900000						1				
Q33583	rn	10800000										
Q9056	cs	10700000										
Q56579	acq	10500000										
Q13263	ug	10400000										
Q14196	af	10300000										
Q36455	cdo	10300000										
Q131339	gsw	10000000						1	1			
Q33413	mup	10000000										
Q178440	prs	9600000						1				
Q33491	ht	9600000										
Q633359	dhd	9600000						1				
Q9288	he	9303950										
Q15637215	knc	9270000										
Q9027	sv	9244250										
Q3515311	azj	9220610							1			
Q10961696	swc	9100000						1				
Q35936	ilo	9100000										
Q34004	sn	9023000										
Q33892	mun	9000000									1	1
Q7918	bg	9000000										
Q5218	qu	8900000									1	1
Q306626		8500000						1				
Q3307894	hmn	8400000										
Q35978	hil	8200000										
Q2356364	bfy	8000000										
Q33322		8000000									1	1
Q34152	shi	8000000										
Q9091	be	7900000										
Q65455884	rwr	7856410										
Q1468146		7800000									1	1
Q33049	bal	7600000										
Q36096	mos	7600000										
Q34124	ti	7507780										
Q33845	nap	7500000							1			
Q397	la	7500000	1		1							
Q33882	vmw	7430000										
Q34239	kok	7400000										
Q979914		7303740						1				
Q36811	ckb	7250000										
Q2293952		7247800									1	1
Q33965	sat	7200000										
Q33328		7000000									1	1
Q34138	tum	7000000										
Q6654	hr	7000000										
Q765922	sck	7000000										
Q9246	mn	7000000										
Q33552	ks	6900000										
Q665624		6800000						1				
Q8785	hy	6700000										
Q33587	ki	6623000										
Q5061628	pst	6520000						1				
Q34173	lua	6300000										
Q5972874		6200000									1	1
Q8748	sq	6200000									1	1
Q565110	nod	6029500										
Q1641150		6000000									1	
Q33474	lmn	6000000										
Q34340	st	6000000										
Q36806		6000000									1	1
Q36983	umb	6000000										
Q7258609		6000000						1				
Q9035	da	6000000										
Q9058	sk	6000000										
Q33860		5900000									1	1
Q36943	wal	5830000										
Q35853	kab	5586000										
Q13324	min	5530000										
Q2638144	suk	5430000										
Q25285	tt	5427318										
Q1412	fi	5413380										
Q9211	lo	5225552										
Q9043	no	5200000										
Q7026	ca	5100000										
Q382273		5065879										
Q34070	tup	5040000									1	1
Q33190	bug	5017800										
Q33702	kg	5016500										
Q122191294		5000000							1			
Q25433	nds	5000000							1			
Q2605943	wtm	5000000										
Q27387		5000000									1	1
Q2992857	mtr	5000000										
Q33014	bew	5000000										
Q4701277		5000000							1			
Q5555465	gpe	5000000										
Q710218		5000000						1				
Q71223		4900000						1				
Q17478066	gug	4850000						1				
Q33973	scn	4700000										
Q1757661		4600000									1	1
Q236425	paa	4600000									1	
Q33954	sg	4600000										
Q56546	czh	4600000										
Q9255	ky	4568480										
Q34137	tn	4500000										
Q35876	gn	4500000										
Q387066		4500000						1	1			
Q56508	sou	4500000										
Q3510366	ayh	4473000										
Q1420205	fuc	4450000										
Q242648		4400000							1		1	1
Q34174	rif	4399000										
Q56503	ayl	4320500						1				
Q25164	nn	4320000								1		
Q181059		4300000						1				
Q33243	bm	4200000										
Q1066787	uzs	4165700						1				
Q33368	lg	4100000										
Q33890	nso	4100000										
Q11732445	wry	4000000										
Q25167	nb	4000000						1		1		
Q33070	ban	4000000										
Q34159	tpi	4000000										
Q4627	ay	4000000										
Q56410	ksw	4000000										
Q9083	lt	4000000										
Q33754	lmo	3900000										
Q2574767	kam	3893000										
Q56231	mey	3763900										
Q34257	wo	3700000										
Q8108	ka	3700000										
Q5575236	gom	3633900						1				
Q33052	bem	3600000										
Q27683	ace	3500032										
Q33229	bhb	3310000										
Q36186	myq	3300000									1	
Q13356	mzn	3270000										
Q35939	jam	3200000										
Q32238	dag	3160000										
Q34279	war	3100000										
Q12952252	bgp	3050000						1	1			
Q10867404	msi	3000000						1				
Q1364815	kar	3000000									1	1
Q1496597	sdh	3000000										
Q168446		3000000							1			
Q180937	als	3000000						1				
Q1990745		3000000							1			
Q30005	ee	3000000										
Q33459	gbm	3000000										
Q3436689	bzs	3000000										
Q34831	abr	3000000										
Q36850	tw	3000000										
Q4274559		3000000						1				
Q5414796	luo	3000000										
Q56482	shn	3000000										
Q1775361	gon	2984453										
Q35570	fat	2800000										
Q6399808	khk	2704030						1				
Q32706	dyu	2700000										
Q33795		2700000									1	1
Q7598268	zgh	2700000								1		
Q35377	efi	2693000										
Q6433240	spv	2630000										
Q56497	shu	2600000						1				
Q33657	glk	2550000										
Q257829	bqi	2500000						1				
Q35455	bik	2500000									1	1
Q56583	cpx	2500000										
Q32641		2400000						1		1		
Q33990	sus	2400000										
Q9063	sl	2400000										
Q9307	gl	2400000										
Q3270727	cgg	2390000										
Q13207	nyn	2300000										
Q33274	shy	2300000										
Q33424	iba	2300000										
Q33529	kfy	2300000										
Q33398	haz	2221000						1				
Q516137		2150000						1			1	1
Q35107	bci	2100000										
Q35670	laj	2100000										
Q34014	ss	2034200										
Q1294047	sas	2000000										
Q143	eo	2000000				1						
Q15085	pms	2000000										
Q32724	vec	2000000										
Q32730	dgo	2000000										
Q33017	bbc	2000000										
Q33492	kru	2000000										
Q34235	ii	2000000										
Q34251	tcy	2000000										
Q35100	pcc	2000000										
Q35541	wes	2000000										
Q36486	shk	2000000										
Q36494	quc	2000000										
Q699284	sxu	2000000										
Q9296	mk	2000000										
Q8054983	zyb	1980000										
Q33291	fon	1935500										
Q13300	nah	1925620									1	
Q5648144		1920000						1				
Q2426319	bgq	1890815										
Q110276967		1800000						1				
Q3241177	rhg	1800000										
Q33202	brh	1800000										
Q33786	sid	1800000										
Q3438770	kai	1800000										
Q13175595		1700000						1				
Q35172	kde	1700000										
Q10199	zza	1640000										
Q1307730	quh	1616120										
Q102172	li	1600000										
Q27811	aa	1600000										
Q33522	kbd	1600000										
Q33643	mak	1600000										
Q35375	bin	1600000										
Q35513	igl	1600000										
Q35613	nd	1572800										
Q3111668	guw	1539000										
Q14549	sco	1500000										
Q19933293	lrc	1500000										
Q2511476	tyz	1500000										
Q33270	hoc	1500000										
Q3327828	unr	1500000										
Q33726	khn	1500000										
Q3502294	noe	1500000										
Q35147	quz	1500000										
Q35379	kmc	1500000										
Q35481	kbr	1500000										
Q56483	lki	1500000										
Q56601	khg	1500000										
Q8786		1500000						1				
Q9078	lv	1500000										
Q33223	brx	1482929										
Q2707343	sgw	1480000										
Q1199751	mfa	1470000						1				
Q33868	mni	1470000										
Q33010		1442389									1	1
Q100103	vls	1400000										
Q3502234	kxm	1400000										
Q180945	hyw	1395240						1				
Q33350	ce	1393900										
Q56466	din	1365900										
Q33678	mnk	1350000										
Q35394	rmt	1340000										
Q1057898	egl	1300000						1	1			
Q32704	ve	1300000										
Q33976	sc	1300000										
Q33348	cv	1279650										
Q34101	toi	1270000										
Q9072	et	1251770										
Q34065	tmh	1248200										
Q1040944		1200000						1				
Q13389	ba	1200000										
Q13634282	zeh	1200000						1				
Q2085051	tsc	1200000										
Q34271	bo	1200000										
Q34926	ach	1200000										
Q35022		1200000									1	1
Q36284	srr	1200000										
Q12953177	taj	1180000										
Q33025	bej	1178000										
Q12361545	ekk	1164770								1		
Q3236789	mtq	1140000										
Q35035	ajg	1133000										
Q1641543	rgn	1100000										
Q2891049	btm	1100000										
Q3196210		1100000						1				
Q33717	mdh	1100000										
Q33879	pag	1100000										
Q34142	tsg	1100000										
Q35159	dga	1100000										
Q36663	urh	1100000										
Q934541	hnm	1100000						1				
Q36660	snk	1096795										
Q33720	krj	1056093										
Q9142	ga	1030000										
Q3915909	zmi	1010000						1				
Q12952748	luz	1000000										
Q1517194	nub	1000000									1	1
Q23014	pfl	1000000										
Q2501174	gor	1000000										
Q33979	new	1000000										
Q35475	kbp	1000000										
Q36137	grt	1000000										
Q13192	qxq	995000										
Q3105505	haq	990000										
Q34233	ryu	984000										
Q4121131	nym	980000										
Q56622	drs	980000										
Q9309	cy	977366										
Q33332	kac	940000										
Q36045	its	940000										
Q33880	stv	935000										
Q35145	quy	918200										
Q3285748	mqy	900000										
Q33675	nus	900000										
Q56393		900000									1	1
Q6747931	mjl	900000										
Q6805114		900000						1				
Q695526		900000						1				
Q2992872	nij	890000										
Q35664	ktb	890000										
Q35373	kmz	886000										
Q35963	kea	871000										
Q5042987		870000						1				
Q56487	kfr	866000						1				
Q33584	kha	865000										
Q35028	bum	860000										
Q7121294	blk	860000										
Q33484	fan	858000										
Q1068112	xmm	850000										
Q13349	mnw	850000										
Q72695	nut	850000										
Q27175	fy	845100										
Q2407831	nia	825768										
Q2498808	ium	820000										
Q327274	swg	820000						1				
Q35331	gur	820000										
Q33900	ng	810000						1		1		
Q56509	adx	810000										
Q1262143	pga	800000										
Q34129	tig	800000										
Q36720	nup	800000										
Q18415595	dty	790000										
Q33800	mrw	780000										
Q56959	xal	780000										
Q36748	pnt	778000										
Q13214	zap	777000									1	1
Q29561	av	766500										
Q3450749	rki	765000						1				
Q34318	tly	764400										
Q56407	blt	760000										
Q1468128		750000									1	1
Q4446348		750000									1	1
Q8752	eu	750000										
Q33364	fvr	746000										
Q33287	gaa	745000										
Q28378	anp	740000										
Q56516	hni	740000										
Q2520717	rng	722000										
Q1353320	scl	720200										
Q13354	yua	706000										
Q32174903		700000						1				
Q3305477	gyn	700000										
Q34024	pcd	700000										
Q35602	hwc	700000										
Q35947	trp	700000										
Q36948	khb	700000										
Q934738	lic	700000										
Q3437661	ruf	692000										
Q35744	kri	692000										
Q626210	mgr	674000										
Q36503	fia	669000										
Q3788739	ksb	664000										
Q36556	tdd	650000										
Q3915207	tyr	650000										
Q33919	uki	645000										
Q2937525	cps	640000						1				
Q36785	nr	640000										
Q56390	ttq	640000										
Q31746	lez	633610										
Q6667767	rag	618300										
Q25325		612000									1	1
Q26245	rue	610000										
Q2361829	koo	609000									1	1
Q18398907		600000						1				
Q28038881		600000						1				
Q33012	btx	600000										
Q33628	loz	600000										
Q33661	mfe	600000										
Q34219	wa	600000										
Q35401	kaj	600000										
Q56643	ahk	600000										
Q7915983	vav	600000										
Q33968		599250										
Q33541	kaa	583410										
Q6480112	leb	580000										
Q35459	ewo	578000										
Q27776	ady	575900										
Q33538	syc	575000			1							
Q6432786	kfp	570000										
Q9166	mt	570000										
Q1256701	rmn	563670							1			
Q33357	crh	552740										
Q36363		550000									1	1
Q14185	oc	542000										
Q2669199	rmy	538480							1			
Q21083066		511000									1	1
Q1472421	fly	500000										
Q1772864		500000									1	1
Q213434	sgs	500000										
Q33339	pov	500000										
Q35115	cak	500000										
Q35743		500000							1			
Q36106	lij	500000										
Q36147	lus	500000										
Q36403	asa	500000										
Q36673	sda	500000										
Q4670066	taq	500000										
Q7260479	qxp	500000						1				
Q34934	awn	490000										
Q56310	kdt	488900										
Q3906614	mhr	482000						1				
Q1971400	adh	480000										
Q33335	kjg	480000										
Q35042	bfa	480000										
Q33715	kfq	478000										
Q49224	kge	470000										
Q973685	chm	470000										
Q2360396	bgx	464000							1			
Q34125	tet	463500										
Q20586099		460000									1	1
Q33595	irk	460000										
Q30319	szl	457900										
Q29507	ast	450000						1				
Q34299	sah	450000										
Q35780	lhu	450000										
Q35807	lob	440000										
Q34165		430000									1	1
Q36209	kum	426212										
Q34949	bsq	420000										
Q35536	kek	420000										
Q56477	lif	420000										
Q34011	sm	415720										
Q33989	srn	415700										
Q13284	srb	410000										
Q3507832	dyo	410000										
Q1775596	ibg	400000										
Q35999	anc	400000										
Q4175893	mrh	400000										
Q35614	dug	397000										
Q3501850	pbv	395124										
Q9051	lb	391200										
Q56411	bwx	390000										
Q30897993		385000									1	1
Q7673650	tap	382000										
Q46728	hif	380000										
Q33614	khi	370000									1	1
Q33178	wti	367000										
Q3192339	kyk	363000										
Q294	is	358000										
Q37010	ziw	355000										
Q241243	prv	354500						1				
Q3056339	rej	350000										
Q3196090		350000						1				
Q3200721	kxv	350000										
Q33948	msb	350000										
Q36809	tzo	350000										
Q56758	peg	350000										
Q35272	ank	347005										
Q35108	bcq	347000										
Q13359	xmf	345530										
Q20586081		341400									1	1
Q33295	fj	341270										
Q32656	dv	340500										
Q33120	bua	329000										
Q33000	bfi	327000										
Q32952	ccp	326000										
Q13238	udm	324000										
Q33509	inh	322900										
Q33856	pap	321300										
Q131745798		320000						1				
Q35318	ebu	320000										
Q36614	ann	318000										
Q3114653	zdj	312000						1				
Q33714	krc	310400										
Q2478711	nbf	310000										
Q56672	lot	310000										
Q7071227	nyd	310000										
Q13292	saz	300000										
Q1363072	gcr	300000										
Q2701322	osi	300000										
Q3112388	swi	300000										
Q3182585	smw	300000										
Q33441	fur	300000										
Q33730	arn	300000										
Q35268	ish	300000										
Q35403	jab	300000										
Q3914431	say	300000										
Q6935584	mnb	300000						1				
Q891085	guc	300000										
Q34119	tyv	297000										
Q35860	mde	296000										
Q33086	bft	290000										
Q938216	khw	290000										
Q56652	alw	287000										
Q1461092		286900							1			
Q7495	aiw	285000										
Q33302	fsl	283000										
Q36776		280000									1	1
Q760732	mne	280000										
Q7675751	twh	280000										
Q8072097	zib	280000										
Q7684177	tza	278000										
Q2850262	wni	275000						1				
Q37007	zag	274000										
Q36914	wss	273000										
Q36353	ssy	271180										
Q33370	jra	262800										
Q1751432	pdt	261000										
Q28433	njo	261000										
Q2736709	drt	255000						1			1	1
Q3912765	kcg	255000										
Q17522631	ngb	250290										
Q1160372	lzz	250000										
Q13301	naq	250000	1	1								
Q14759	ase	250000										
Q32145		250000						1				
Q3501903	eth	250000										
Q35317	eto	250000										
Q35735	gsc	250000						1				
Q56239	bde	250000										
Q56388	thz	250000										
Q1405077	kj	247000						1		1		
Q3053279	xbr	240000										
Q56624	kxc	240000										
Q33081	dz	237080										
Q33315	hz	237000										
Q29440	aii	232300						1				
Q1143040	enq	230000										
Q12633026	bto	230000										
Q33093	bas	230000										
Q56870	njz	230000										
Q15087	frp	227000										
Q237409	zea	220000						1				
Q36126	kv	219100										
Q16116629	bxr	219000										
Q2396970	guk	219000										
Q36098	lam	219000										
Q35132	ami	215000										
Q36451	mi	213849										
Q3915365	enn	211000										
Q2880037	bdr	210000										
Q56527	xan	210000										
Q12107	br	206000										
Q30007	ext	201500										
Q1324531		200000									1	1
Q149208	frs	200000										
Q16116337		200000									1	1
Q19894848		200000									1	1
Q3083213		200000						1				
Q32947	sce	200000										
Q33531	kfa	200000										
Q34018		200000									1	1
Q36212	ltg	200000						1				
Q3914920	yba	200000										
Q667747	fip	195000										
Q6821677	mvz	195000										
Q5111	ab	190110										
Q35490	cab	190000										
Q34094	to	186010										
Q13257	uum	185000										
Q16116327		184500									1	1
Q4958328		183000						1				
Q133872420		180272						1				
Q1516803	miq	180000										
Q27475	ath	180000									1	1
Q3073428	kvk	180000										
Q33617	ho	180000										
Q35179	ctu	180000										
Q5317225	dtp	180000										
Q6480777	slp	180000										
Q7987774	dnw	180000										
Q33590	njh	179467										
Q15407179	thk	176000										
Q3440432	cla	176000										
Q33960	ski	175000										
Q36803	tsz	175000										
Q36840	tsj	175000										
Q1268244	rsb	170000										
Q35168	qus	170000										
Q13310	nv	169369										
Q4914553	bkd	168234										
Q5616512		167000						1				
Q1843468	hns	165000										
Q3258739	dop	160000										
Q32924	bdq	160000										
Q6430753	kqy	159200										
Q4121130	kdn	157000										
Q34114	kpv	156000										
Q6522666	leh	156000										
Q5972894		155000									1	1
Q36206	lbe	154820										
Q34214	mjg	152000										
Q33111	co	151000										
Q12952596	kyu	150000										
Q13357	fit	150000						1				
Q2328761	mhy	150000										
Q29490	bno	150000										
Q3244184	aig	150000										
Q32480	mki	150000										
Q35573	hus	150000										
Q36149	mzb	150000										
Q36612	xsr	150000										
Q5045611	rmc	150000							1			
Q5614980	ngu	150000										
Q62997793	esg	150000										
Q33457	gag	148720										
Q22711	pdc	148000										
Q67093214	mve	146000										
Q7042633	nka	146000										
Q16114351	pua	140000										
Q3160720		140000						1				
Q33677	pbb	140000										
Q36151	jbn	140000										
Q3833010		140000									1	1
Q56677	anu	140000										
Q3513320	pmf	137000										
Q36196	lad	137000									1	1
Q27602	mrr	134000										
Q33205	bfq	134000										
Q113411077		133000										
Q7193332	ngp	132000										
Q35774	mgm	130000										
Q529921	tan	130000										
Q7208577	pof	130000										
Q3250286	cnh	125000										
Q2067656	end	124000										
Q35708	kus	121000										
Q11073393		120000						1				
Q13210	rsl	120000										
Q33153	cyo	120000										
Q3545044	kkh	120000										
Q6740513	ymk	119700										
Q37059	bpy	117500										
Q35296	etu	116700										
Q30898	gil	116280										
Q3409819	qul	116000										
Q29316	rup	112960										
Q56703	thv	112900										
Q129431		110000						1		1		
Q1363055	bzj	110000										
Q2071325	kkv	110000										
Q2319877	hvn	110000										
Q3147383	ibl	110000										
Q3571351	yka	110000										
Q3571364	yky	110000										
Q44268		108469						1				
Q33690	csb	108000										
Q56495	jdt	106000						1	1			
Q17522635	nbw	105000										
Q2697010	ljl	105000										
Q4418344	sty	101000										
Q1075302	aae	100000						1				
Q11130292	nto	100000										
Q12237465		100000						1				
Q1393074		100000									1	1
Q3027861	osd	100000						1				
Q3042206	wmw	100000										
Q33623	iro	100000									1	1
Q33850	nrf	100000							1			
Q34738	adj	100000										
Q35727	fng	100000										
Q36568	dsq	100000										
Q4198970		100000						1				
Q4699526	lrl	100000							1			
Q5228140	fay	100000										
Q612220	sdn	100000						1				
Q6393846	ked	100000										
Q7022396	niy	100000										
Q7675773	tjl	100000										
Q845441	sdc	100000						1				
Q4684505	adr	98000										
Q779632	cwe	98000										
Q29952	myv	96860										
Q32430	dta	96085										
Q715755	pwn	96000										
Q2872082	auh	95200										
Q7690594	tbl	95000										
Q795327	mdy	94700										
Q34767	abu	93000										
Q56531	bst	92600										
Q35528	ixl	92000										
Q12953610	kft	91000										
Q2963607		91000										
Q56795	omi	91000										
Q2665246	trw	90000										
Q3162809		90000						1				
Q33779	srm	90000										
Q33871	nog	87119										
Q3092284	mlm	86000										
Q36705	sth	86000						1				
Q56744	sjs	86000										
Q25946		85000									1	1
Q34015	crs	85000										
Q35737	jge	85000										
Q56728	zai	85000										
Q34040	tru	84000										
Q56348	yim	83259										
Q2857892	adl	80597										
Q2395329		80000						1				
Q35284	cia	80000										
Q35359	auv	80000						1				
Q36179	nrb	80000										
Q3914924	ngi	80000										
Q4902547	byk	80000										
Q56594	atb	80000										
Q715766	tay	80000										
Q11732610	sbm	79000										
Q7130477	cts	78000										
Q3440381	wji	77700										
Q34079	tab	75079										
Q12533442		75000						1				
Q17523697	jjr	75000						1				
Q3593745		75000						1				
Q35990	lep	75000										
Q9003980		75000									1	1
Q32762	vro	74499						1				
Q3437230	cni	73567										
Q2391297	emp	72000										
Q663586	agi	72000										
Q34999	bji	70100										
Q12811566		70000										
Q17523694	jgk	70000										
Q2592378	xsb	70000										
Q33963	slr	70000										
Q35285	sip	70000										
Q36011	mbo	70000										
Q3914436	dbd	70000										
Q4155022	drw	70000						1				
Q56491	byn	70000										
Q36536	cri	69899										
Q25258	fo	69150										
Q3032135	gwd	69000										
Q34128	ty	68000										
Q1185114	wlo	65000										
Q20527417	bxu	65000										
Q36276	bzy	65000										
Q56809	gdl	65000										
Q7194057	dbm	65000										
Q34053	sgh	64800										
Q33262	ch	64300										
Q35691	liq	64000										
Q56318	koi	63100										
Q36287	jgo	63000										
Q542564	raw	63000										
Q6746004	mqx	63000										
Q1815205	tca	61000										
Q35870	ksd	61000										
Q36280	mh	61000										
Q37011	zom	61000										
Q56637	dsh	60500										
Q9314	gd	60130										
Q11732256	jvn	60000						1				
Q1516651	nxg	60000										
Q33367	jpr	60000							1			
Q3438705	nbh	60000										
Q34930	ksf	60000										
Q35466	rmq	60000										
Q3914415	wja	60000										
Q56469	bhh	60000						1				
Q7967085	nnp	59154										
Q12952800	msk	58000										
Q1817969		58000						1				
Q1526530	agr	56584										
Q25355	kl	56200										
Q1991779	alt	55720										
Q205143	aus	55695									1	1
Q216286	bsk	55000										
Q7187109	phg	54416										
Q7557754	sby	54400										
Q33455	klj	53900										
Q56621	wbj	53000										
Q33161	chk	51330										
Q11732345	kcz	51000										
