Answer 	% Correct
Baja California 	
	92%
Chihuahua 	
	88.3%
México	
	87.5%
Yucatán	
	84.5%
Baja California Sur 	
	84.2%
Sonora 	
	81.6%
Oaxaca 	
	76.9%
Sinaloa 	
	74.6%
Veracruz 	
	74.3%
Nuevo León	
	74%
Durango 	
	73.2%
Jalisco 	
	73.2%
Tabasco 	
	71.9%
Chiapas 	
	70.5%
Quintana Roo 	
	70.4%
Puebla 	
	68.3%
	
Answer 	% Correct
Guerrero 	
	67%
Aguascalientes 	
	65.4%
Coahuila 	
	64.9%
Campeche 	
	62.4%
Zacatecas 	
	62%
Hidalgo 	
	61.9%
Tamaulipas 	
	61.8%
San Luis Potosí	
	61.1%
Nayarit 	
	60.4%
Colima 	
	60.1%
Michoacán	
	59.5%
Morelos 	
	56.7%
Tlaxcala 	
	55.4%
Guanajuato 	
	53.6%
Querétaro	
	51.7%
https://de.sporcle.com/games/g/mexicanstates/results
