Answer 	% Correct
H​	
	94%
He​	
	91.4%
O​	
	90.9%
C​	
	88.3%
N​	
	86%
Li​	
	83.5%
Na​	
	82.3%
Ne​	
	82.3%
Au​	
	82%
Ag​	
	81.7%
B​	
	81.4%
K​	
	81%
Mg​	
	80%
Fe​	
	79.3%
Ar​	
	78.7%
Cu​	
	78.2%
Cl​	
	77.9%
Al​	
	75.9%
F​	
	74.8%
Ca​	
	74.4%
S​	
	73.9%
Be​	
	73.4%
Si​	
	69.5%
P​	
	69.4%
Zn​	
	69.1%
Xe​	
	68.9%
Kr​	
	67.2%
Ti​	
	66.4%
Mn​	
	66%
Sn​	
	65.6%
Ni​	
	65.4%
U​	
	64.8%
I​	
	64.7%
Pb​	
	64.3%
Co​	
	64.1%
Br​	
	63.7%
Hg​	
	61.6%
Rn​	
	61.1%
Ge​	
	60.2%
As​	
	59.9%
	
Answer 	% Correct
Pu​	
	58.5%
Pt​	
	58.5%
Fr​	
	58.2%
Es​	
	57.5%
Cr​	
	57.4%
Cs​	
	57%
Ga​	
	56.7%
Se​	
	56.3%
Ra​	
	56.1%
V​	
	55.8%
Ba​	
	55.8%
W​	
	54.4%
Rb​	
	53.7%
Sc​	
	53.3%
Y​	
	52.5%
Sr​	
	52.5%
Cf​	
	49.1%
Am​	
	48.8%
Sb​	
	47.4%
Zr​	
	47.4%
Pd​	
	46.9%
Cd​	
	46.8%
In​	
	45.9%
Po​	
	45.5%
At​	
	44.5%
Np​	
	44.2%
Mo​	
	43.9%
Rh​	
	43.9%
Ac​	
	43.5%
Cm​	
	43.4%
La​	
	43.2%
Bi​	
	43.1%
Ir​	
	42.6%
Rf​	
	42.1%
Eu​	
	41.7%
Tl​	
	41.1%
Te​	
	41.1%
Os​	
	40.3%
Hf​	
	40.3%
Tc​	
	40.2%
	
Answer 	% Correct
Nb​	
	39.6%
Og​	
	39.4%
Ru​	
	39.2%
Yb​	
	39.2%
Th​	
	38.7%
Ts​	
	38.1%
Md​	
	37.8%
Lr​	
	37.6%
Ce​	
	37.1%
No​	
	37.1%
Bk​	
	36.9%
Mc​	
	36.9%
Re​	
	36.4%
Bh​	
	35.7%
Lv​	
	35.3%
Sg​	
	35.1%
Ta​	
	34.6%
Cn​	
	34.1%
Er​	
	33.9%
Nh​	
	33.2%
Pm​	
	33.1%
Fm​	
	33%
Nd​	
	32.9%
Sm​	
	32.2%
Pa​	
	32%
Fl​	
	32%
Hs​	
	31.8%
Pr​	
	31.8%
Tb​	
	31.5%
Ho​	
	31.5%
Tm​	
	31%
Lu​	
	31%
Db​	
	30.9%
Ds​	
	30.2%
Gd​	
	30.2%
Dy​	
	29.2%
Rg​	
	28.4%
Mt​	
	28.3%
https://de.sporcle.com/games/g/elements/results (Eingabe ist auf Basis der *vollen* Namen, Symbol ist nur für die Results)
